DistrictNum,SchoolDistrict,County,TotalStudents,FreeEligNum,ReduceEligNum,TotalEligNum,FreeEligPct,ReducEligPct,TotalEligPct,PovertyLevel,PovertySublevel
12396,A.C.G.C. ,Meeker                                       ,817,254,115,369,31.1,14.1,45.2,Low,Mid-low
12854,ADA-BORUP,Norman                                       ,540,190,61,251,35.2,11.3,46.5,Low,Mid-low
10511,ADRIAN,Nobles                                       ,576,142,81,223,24.7,14.1,38.7,Low,Mid-low
10001,AITKIN,Aitkin                                       ,"1,162",330,175,505,28.4,15.1,43.5,Low,Mid-low
10745,ALBANY AREA,Stearns                                      ,"1,768",226,123,349,12.8,7,19.7,Low,Low
10241,ALBERT LEA,Freeborn                                     ,"3,391","1,327",356,"1,683",39.1,10.5,49.6,Low,Mid-low
10242,ALDEN-CONGER,Freeborn                                     ,494,111,53,164,22.5,10.7,33.2,Low,Mid-low
10206,ALEXANDRIA,Douglas                                      ,"4,109",814,371,"1,185",19.8,9,28.8,Low,Mid-low
10876,ANNANDALE,Wright                                       ,"1,858",299,170,469,16.1,9.1,25.2,Low,Mid-low
10011,ANOKA-HENNEPIN,Anoka                                        ,"37,787","8,989","3,553","12,542",23.8,9.4,33.2,Low,Mid-low
10261,ASHBY,Grant                                        ,258,73,32,105,28.3,12.4,40.7,Low,Mid-low
10492,AUSTIN ,Mower                                        ,"5,000","2,200",629,"2,829",44,12.6,56.6,High,Mid-high
10676,BADGER,Roseau                                       ,233,49,45,94,21,19.3,40.3,Low,Mid-low
10162,BAGLEY ,Clearwater                                   ,"1,011",385,122,507,38.1,12.1,50.1,High,Mid-high
10146,BARNESVILLE,Clay                                         ,854,87,47,134,10.2,5.5,15.7,Low,Low
10091,BARNUM,Carlton                                      ,745,162,68,230,21.7,9.1,30.9,Low,Mid-low
10542,BATTLE LAKE,Otter Tail                                   ,424,80,54,134,18.9,12.7,31.6,Low,Mid-low
10726,BECKER,Sherburne                                    ,"2,850",324,189,513,11.4,6.6,18,Low,Low
12364,BELGRADE-BROOTEN-ELROSA,Stearns                                      ,642,144,61,205,22.4,9.5,31.9,Low,Mid-low
10716,BELLE PLAINE,Scott                                        ,"1,618",217,113,330,13.4,7,20.4,Low,Low
10031,BEMIDJI,Beltrami                                     ,"5,081","1,816",628,"2,444",35.7,12.4,48.1,Low,Mid-low
10777,BENSON,Swift                                        ,822,261,85,346,31.8,10.3,42.1,Low,Mid-low
10786,BERTHA-HEWITT,Todd                                         ,471,176,85,261,37.4,18,55.4,High,Mid-high
10727,BIG LAKE,Sherburne                                    ,"3,041",489,243,732,16.1,8,24.1,Low,Low
12534,BIRD ISLAND-OLIVIA-LAKE LILLIAN    ,Renville                                     ,686,213,96,309,31,14,45,Low,Mid-low
10032,BLACKDUCK,Beltrami                                     ,604,256,94,350,42.4,15.6,57.9,High,Mid-high
10756,BLOOMING PRAIRIE,Steele                                       ,722,134,76,210,18.6,10.5,29.1,Low,Mid-low
10271,BLOOMINGTON,Hennepin                                     ,"10,285","3,318",979,"4,297",32.3,9.5,41.8,Low,Mid-low
12860,BLUE EARTH AREA ,Faribault                                    ,"1,099",379,131,510,34.5,11.9,46.4,Low,Mid-low
10314,BRAHAM,Isanti                                       ,720,201,84,285,27.9,11.7,39.6,Low,Mid-low
10181,BRAINERD,Crow Wing                                    ,"6,516","1,695",824,"2,519",26,12.6,38.7,Low,Mid-low
12908,BRANDON-EVANSVILLE,Douglas                                      ,458,94,54,148,20.5,11.8,32.3,Low,Mid-low
10846,BRECKENRIDGE,Wilkin                                       ,646,223,28,251,34.5,4.3,38.9,Low,Mid-low
10286,BROOKLYN CENTER,Hennepin                                     ,"2,442","1,545",375,"1,920",63.3,15.4,78.6,High,High
10787,BROWERVILLE,Todd                                         ,553,184,77,261,33.3,13.9,47.2,Low,Mid-low
10801,BROWNS VALLEY,Traverse                                     ,146,78,25,103,53.4,17.1,70.5,High,Mid-high
12159,BUFFALO LK-HECTOR-STEWART,Renville                                     ,515,141,56,197,27.4,10.9,38.3,Low,Mid-low
10877,BUFFALO-HANOVER-MONTROSE,Wright                                       ,"5,706",967,427,"1,394",16.9,7.5,24.4,Low,Low
10191,BURNSVILLE,Dakota                                       ,"8,563","3,635",758,"4,393",42.5,8.9,51.3,High,Mid-high
10836,BUTTERFIELD,Watonwan                                     ,190,92,42,134,48.4,22.1,70.5,High,Mid-high
10531,BYRON ,Olmsted                                      ,"2,057",162,78,240,7.9,3.8,11.7,Low,Low
10299,CALEDONIA,Houston                                      ,678,135,36,171,19.9,5.3,25.2,Low,Mid-low
10911,CAMBRIDGE-ISANTI ,Isanti                                       ,"4,876","1,073",496,"1,569",22,10.2,32.2,Low,Mid-low
10852,CAMPBELL-TINTAH,Wilkin                                       ,143,63,14,77,44.1,9.8,53.8,High,Mid-high
10891,CANBY ,Yellow Medicine                              ,561,115,77,192,20.5,13.7,34.2,Low,Mid-low
10252,CANNON FALLS,Goodhue                                      ,"1,137",173,102,275,15.2,9,24.2,Low,Low
10093,CARLTON,Carlton                                      ,455,119,43,162,26.2,9.5,35.6,Low,Mid-low
10115,CASS LAKE-BENA ,Cass                                         ,"1,176",879,79,958,74.7,6.7,81.5,High,High
12754,CEDAR MOUNTAIN,Redwood                                      ,468,130,102,232,27.8,21.8,49.6,Low,Mid-low
10012,CENTENNIAL,Anoka                                        ,"6,593",841,273,"1,114",12.8,4.1,16.9,Low,Low
10108,CENTRAL,Carver                                       ,998,130,49,179,13,4.9,17.9,Low,Low
10227,CHATFIELD,Olmsted                                      ,906,126,48,174,13.9,5.3,19.2,Low,Low
12144,CHISAGO LAKES,Chisago                                      ,"3,394",474,218,692,14,6.4,20.4,Low,Low
10695,CHISHOLM,St. Louis                                    ,725,273,69,342,37.7,9.5,47.2,Low,Mid-low
10771,CHOKIO-ALBERTA,Stevens                                      ,158,32,16,48,20.3,10.1,30.4,Low,Mid-low
12311,CLEARBROOK-GONVICK,Clearwater                                   ,437,170,65,235,38.9,14.9,53.8,High,Mid-high
10391,CLEVELAND ,Le Sueur                                     ,512,79,40,119,15.4,7.8,23.2,Low,Low
10592,CLIMAX-SHELLY,Polk                                         ,213,109,17,126,51.2,8,59.2,High,Mid-high
12888,CLINTON-GRACEVILLE-BEARDSLEY       ,Big Stone                                    ,326,101,29,130,31,8.9,39.9,Low,Mid-low
10094,CLOQUET,Carlton                                      ,"2,556",901,219,"1,120",35.3,8.6,43.8,Low,Mid-low
10013,COLUMBIA HEIGHTS,Anoka                                        ,"3,140","2,048",404,"2,452",65.2,12.9,78.1,High,High
10081,COMFREY,Brown                                        ,144,33,34,67,22.9,23.6,46.5,Low,Mid-low
10166,COOK COUNTY,Cook                                         ,460,128,50,178,27.8,10.9,38.7,Low,Mid-low
10095,CROMWELL-WRIGHT,Carlton                                      ,316,79,40,119,25,12.7,37.7,Low,Mid-low
10593,CROOKSTON,Polk                                         ,"1,195",487,93,580,40.8,7.8,48.5,Low,Mid-low
10182,CROSBY-IRONTON,Crow Wing                                    ,"1,020",330,123,453,32.4,12.1,44.4,Low,Mid-low
10466,DASSEL-COKATO ,Wright                                       ,"2,232",361,228,589,16.2,10.2,26.4,Low,Mid-low
10378,DAWSON-BOYD,Lac qui Parle                                ,556,135,77,212,24.3,13.8,38.1,Low,Mid-low
10317,DEER RIVER,Itasca                                       ,873,488,109,597,55.9,12.5,68.4,High,Mid-high
10879,DELANO ,Wright                                       ,"2,495",152,83,235,6.1,3.3,9.4,Low,Low
10022,DETROIT LAKES,Becker                                       ,"2,981",819,309,"1,128",27.5,10.4,37.8,Low,Mid-low
12164,DILWORTH-GLYNDON-FELTON            ,Clay                                         ,"1,614",351,98,449,21.7,6.1,27.8,Low,Mid-low
10533,DOVER-EYOTA,Olmsted                                      ,"1,112",122,76,198,11,6.8,17.8,Low,Low
10709,DULUTH ,St. Louis                                    ,"8,458","3,033",588,"3,621",35.9,7,42.8,Low,Mid-low
12580,EAST CENTRAL,Pine                                         ,694,279,90,369,40.2,13,53.2,High,Mid-high
10595,EAST GRAND FORKS,Polk                                         ,"1,879",519,108,627,27.6,5.7,33.4,Low,Mid-low
10112,EASTERN CARVER COUNTY,Carver                                       ,"9,686","1,307",455,"1,762",13.5,4.7,18.2,Low,Low
10272,EDEN PRAIRIE,Hennepin                                     ,"8,723","1,512",327,"1,839",17.3,3.7,21.1,Low,Low
10463,EDEN VALLEY-WATKINS,Meeker                                       ,960,170,133,303,17.7,13.9,31.6,Low,Mid-low
10581,EDGERTON,Pipestone                                    ,399,104,85,189,26.1,21.3,47.4,Low,Mid-low
10273,EDINA ,Hennepin                                     ,"8,484",543,139,682,6.4,1.6,8,Low,Low
10728,ELK RIVER,Sherburne                                    ,"13,158","1,575",673,"2,248",12,5.1,17.1,Low,Low
10514,ELLSWORTH,Nobles                                       ,138,35,27,62,25.4,19.6,44.9,Low,Mid-low
