ncesid,state_id,state,state_fips,name,county,conum,enroll,lrpp,srpp,slrpp,lr,sr,slr,srpp_cola,lrpp_cola,slrpp_cola,dtype,durbanicity,doperational_schools,denroll_district,dlep,dwhite,dblack,dhispanic,dasian_pi,dhawaiian_pi,damindian_aknative,d2plus_races,pctnonwhite,tpop,stpop,stpov,stpovrate,mhi,mpv,sd_area,student_per_sq_mile,sdtype,diep,dfrl,frl_rate
5300450,WA-01122,Washington,53,Benge School District,Adams County,53001,13,4538.46153846154,85923.0769230769,90461.5384615385,59000,1117000,1176000,80527.7197029774,4253.4784802826,84781.19818326,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,1,13,NA,12,NA,NA,NA,NA,NA,1,0.0769230769230769,58,6,1,0.166666666666667,61250,81000,117.8,0.11,uni,NA,NA,NA
5304410,WA-01158,Washington,53,Lind School District,Adams County,53001,226,4809.73451327434,18057.5221238938,22867.2566371681,1087000,4081000,5168000,16923.6383541648,4507.71744449329,21431.3557986581,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3,226,30,130,2,85,3,NA,NA,6,0.424778761061947,1264,293,41,0.139931740614334,56188,114600,497.8,0.454,uni,NA,NA,NA
5306480,WA-01147,Washington,53,Othello School District,Adams County,53001,4525,1290.38674033149,12019.6685082873,13310.0552486188,5839000,54389000,60228000,11264.9189393508,1209.35964417197,12474.2785835228,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,8,4525,1857,420,7,4061,14,2,2,17,0.907182320441989,15980,4496,1020,0.226868327402135,47563,163800,298,15.185,uni,NA,NA,NA
5307380,WA-01160,Washington,53,Ritzville School District,Adams County,53001,384,5255.20833333333,23299.4791666667,28554.6875,2018000,8947000,10965000,21836.4378319275,4925.21868166198,26761.6565135895,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3,384,NA,314,2,45,7,1,6,9,0.182291666666667,2547,433,50,0.115473441108545,49345,124600,657,0.584,uni,NA,NA,NA
5309570,WA-01109,Washington,53,Washtucna School District,Adams County,53001,57,3263.15789473684,37456.1403508772,40719.298245614,186000,2135000,2321000,35104.161528469704,3058.25482168401,38162.4163501537,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,1,57,NA,51,0,4,0,0,0,2,0.105263157894737,334,51,13,0.254901960784314,48125,65000,193.4,0.295,uni,NA,NA,NA
5300280,WA-02420,Washington,53,Asotin-Anatone School District,Asotin County,53003,678,2435.10324483776,10744.8377581121,13179.9410029499,1651000,7285000,8936000,9830.59264237154,2227.90781778386,12058.5004601554,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,2,678,NA,593,1,38,8,1,2,35,0.125368731563422,3383,558,55,0.0985663082437276,73654,269700,527.1,1.286,uni,NA,NA,NA
5301320,WA-02250,Washington,53,Clarkston School District,Asotin County,53003,2669,1670.66316972649,10865.8673660547,12536.5305357812,4459000,29001000,33460000,9941.32421413971,1528.51159169853,11469.8358058382,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,9,2669,25,2215,38,206,30,1,49,128,0.170101161483702,19282,2817,499,0.177138800141995,51429,186900,158.9,16.797,uni,NA,NA,NA
5303930,WA-03017,Washington,53,Kennewick School District,Benton County,53005,19598,2178.2324727013,10877.1813450352,13055.4138177365,42689000,213171000,255860000,9843.60302718118,1971.25110651701,11814.8541336982,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,32,19598,2656,10307,1105,6824,369,46,57,885,0.474078987651801,99852,19708,3452,0.175157296529328,63019,226200,299.1,65.523,uni,NA,NA,NA
5304020,WA-03052,Washington,53,Kiona-Benton School District,Benton County,53005,1377,2311.54684095861,12320.987654321,14632.5344952796,3183000,16966000,20149000,11150.2150717837,2091.8975936277,13242.1126654114,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,4,1377,352,690,3,634,6,NA,5,38,0.498910675381264,9812,1938,229,0.118163054695562,62943,184300,132.6,10.385,uni,NA,NA,NA
5306630,WA-03050,Washington,53,Paterson School District,Benton County,53005,126,4000,13468.253968254,17468.253968254,504000,1697000,2201000,12188.4651296416,3619.90950226244,15808.374631904,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,1,126,30,58,NA,68,NA,NA,NA,NA,0.53968253968254,526,133,13,0.0977443609022556,72500,225000,218.5,0.577,uni,NA,NA,NA
