geoid,dist_id,district,total_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2800360,4820,ABERDEEN,998,8472555.065,8489.534134,6533995.02,1938560.045,3032312.136,1938560.045,4.640070636,5461563,5472.508016,6547.089198,7179852.02,7194.240501,0,76,64,71,87,49,70,79,68,74,103,81,77,78,998,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.0829326,0.309,4672500.27,910.472222,74,76,5,232105.88,682414.14,419.2598,308.382,108296.862,108.5138898,4147539.884,4155.851587,5241291.975,5251.795566,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.9236,56314,1942.444935
2800390,200,ALCORN COUNTY,3188,25235482.04,7915.772285,20419424,4816058.044,4816058.044,6069361.05,8.627912006,17423282,5465.270389,6405.089084,22479115,7051.165307,135,210,243,246,219,233,194,233,232,240,256,235,237,200,3188,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.4984369,0.188,7744573.91,2814.40782,389,160,20,711043.38,1787412.62,607.314,599.344,172002.073,53.95297146,17663056.96,5540.482107,16409753.95,5147.350674,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.1289,703630,1510.683201
.,2545,AMBITION PREP,480,3624668.499,7551.392707,2877548.95,747119.5492,747119.5492,859792.3065,4.6,2151984,4483.3,5994.893646,3184415.95,6634.199896,0,79,79,83,87,67,0,0,0,0,0,0,0,0,395,0.5627,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04,1342962.18,AMBITION PR,5.8,0.401,1608020.68,277.804469,21,15,0,89289.47,118269.48,270.096,192.48,26682.84104,55.58925217,2437296.401,5077.700835,2324623.644,4842.965924,NA,NA,NA,NA,NA,NA,NA,41826,134704.8425,0,1556.499061
2800420,300,AMITE COUNTY,853,7912550.301,9276.143377,6099490.67,1813059.631,3221128.96,1813059.631,1.168493306,5418370,6352.133646,7150.633845,6715035.67,7872.257526,0,71,63,61,73,63,61,59,59,68,65,73,47,62,853,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027,0.29,7452499.36,780.137143,159,58,10,201251.92,542503.75,468.297,247.37,115040.32,134.8655569,3493906.71,4096.021934,4901976.039,5746.747994,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.9169,194411,2125.509532
2800450,4821,AMORY,1518,11936013.3,7862.986361,9451731.16,2484282.136,2484282.136,2808486.583,19.73466969,8630797,5685.637022,6226.436864,10401802.16,6852.307088,0,119,121,111,103,131,123,87,123,117,122,117,108,99,1518,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046655,0.208,5228334.37,1410.86508,169,72,15,355521.69,829830.47,358.3998,315.744,88724.362,58.44819631,7917520.024,5215.757592,7593315.577,5002.184174,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.5057,236621,1636.549497
2800510,400,ATTALA COUNTY,1004,8661987.083,8627.477174,6680365.01,1981622.073,2935606.828,1981622.073,1.725257814,5643432,5620.948207,6653.75001,7339341.01,7310.100608,48,82,84,67,56,69,56,66,82,84,82,68,72,72,1004,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.94201,0.293,3534710.96,852.659218,117,60,5,221821.22,724921.79,363.1468,294.172,104843.101,104.4253994,4403734.182,4386.189424,5357718.937,5336.373444,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.4049,336354,1973.727164
2800540,5920,BALDWYN,756,6239659.823,8253.518284,4811051.38,1428608.443,2409164.94,1428608.443,11.48374505,4166149,5510.779101,6363.824577,5291142.38,6998.865582,0,67,58,56,64,58,56,58,68,67,51,56,39,44,756,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252,0.246,2408297.18,688.707339,71,33,0,176942.75,456930.63,214.2504,185.976,86041.605,113.8116468,2881977.44,3812.139471,3862533.937,5109.171875,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.367,264705,1889.693707
2800570,2320,BAY ST. LOUIS,1672,13856568.1,8287.42111,10683196.21,3173371.887,7071755.796,3173371.887,89.03631856,8998844,5382.083732,6389.471417,11753229.21,7029.443307,58,113,142,109,125,114,117,115,142,131,112,153,133,90,1672,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.7788537,0.246,8233825.93,1530.40499,191,95,10,373286.09,999761.12,490.732,411.312,252562.707,151.0542506,4681473.414,2799.924291,8579857.323,5131.493614,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8151,119480,1897.949693
2800600,500,BENTON COUNTY,961,8096978.272,8425.575725,6618668.46,1478309.812,1478309.812,1967707.744,2.363732143,5252649,5465.815817,6887.272071,7287806.46,7583.565515,16,93,62,68,74,58,66,73,70,87,76,71,69,60,961,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483,0.293,5808895.95,806.11359,122,72,5,220886.26,575744.2,332.6982,281.573,52796.779,54.93941623,5809496.648,6045.261861,5320098.716,5536.002826,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.2256,188397,1538.303655
2800630,2420,BILOXI,5812,44626103.42,7678.269687,34408921.93,10217181.49,17883311.82,10217181.49,302.4831359,29253636,5033.316586,5920.323801,37841412.93,6510.91069,120,459,485,441,447,419,361,430,405,464,493,409,403,405,5812,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.21429432,0.26,29870477.84,5304.15,443,356,15,1316669.08,3226824.85,1919.1224,1511.12,638689.708,109.8915533,19958101.11,3433.947196,27624231.44,4752.964804,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769,432143,1757.945886
