dist_id,district,total_enroll,model_1_total_funding,model_1_pp_funding,model_1_diff_total,model_1_diff_pp,model_1_state_share,model_1_state_share_pp,model_1_local_diff_total,model_1_local_share_total,model_1_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,vocational_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,model_1_local_mills_total
4820,ABERDEEN,998,7393481.76,7408.298356713427,82367.11999999918,82.53218436873703,5397241.6848,5408.057800400801,-4118016.5348000005,1996240.0752,2000.2405563126254,5988000,266400,570000,51000,887400,0,503111.76,14970.000000000002,929.9161290322581,472.76613780438754,0,49.900000000000006,419.2598,308.382,74,76,5,317,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0.4201,108296862,0.309,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,743263,304899.92361736,56314,1695.0296993987977,3032312.136
0200,ALCORN COUNTY,3188,22743796.8,7134.189711417817,6770.7560000009835,2.1238255959851813,17927738.756,5623.506510664994,-4643587.446,4816058.044,1510.683200752823,19128000,1400400,1200000,204000,2804400,34800,728776.7999999999,47820,768.9033391915646,-307.1036216346736,29,159.4,607.314,599.344,389,160,20,1369,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,0.1905,172002073,0.188,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,2366894,915285.12886944,703630,1510.683200752823,4816058.044
0300,AMITE COUNTY,853,6802151.4,7974.386166471279,-165829.19999999925,-194.40703399765425,4965570.522,5821.3019015240325,-3816279.942,1836580.8780000003,2153.084264947245,5118000,572400,435000,102000,1109400,0,561956.4,12795.000000000002,181.86343612334804,646.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,274,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0.549,115040320,0.29,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,1068117,259003.91686784,194411,1890.0886283704576,3221128.96
4821,AMORY,1518,10876649.76,7165.118418972332,125988.62399999984,82.99645849802346,8392367.624,5528.568922266139,-2178120.414,2484282.136,1636.5494967061923,9108000,608400,540000,153000,1301400,14400,430079.76,22770,769.55859375,-53.66003463171569,12,75.9,358.3998,315.744,169,72,15,560,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0.2361,88724362,0.208,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,1104393,449311.50568,236621,1636.5494967061925,2484282.136
0400,ATTALA COUNTY,1004,7397036.16,7367.565896414343,-62587.299999999814,-62.337948207170484,5399836.3968,5378.323104382471,-3822860.6368000004,1997199.7632000002,1989.2427920318726,6024000,421200,450000,51000,922200,0,435776.16,15060,277,393.39946008908794,0,50.2,363.1468,294.17199999999997,117,60,5,336,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,0.3617,104843101,0.293,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,871786,292914.40494692,336354,1719.124960159363,2935606.8279999997
5920,BALDWYN,756,5313540.48,7028.492698412699,-121100.14999999944,-160.18538359788272,3878884.5504,5130.79966984127,-3014233.4203999992,1434655.9296000001,1897.6930285714288,4536000,255600,247500,0,503100,6000,257100.48,11340.000000000002,288.7307692307695,173.94652716989094,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,306,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0.2834,86041605,0.246,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,473072,219832.36697524,264705,1663.3103571428574,2409164.94
2320,BAY ST. LOUIS,1672,12188858.4,7289.987081339713,76060.25999999978,45.49058612440149,8897866.632,5321.69056937799,-7032688.902,3290991.768,1968.2965119617227,10032000,687600,712500,102000,1502100,40800,588878.4,25080.000000000004,842.9324324324325,165.86158011745738,34,83.60000000000001,490.732,411.31200000000007,191,95,10,642,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,0.2935,252562707,0.246,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,1252592,507484.8150658,119480,1676.225562200957,7071755.796
0500,BENTON COUNTY,961,7235052.84,7528.671009365245,-65294.97200000007,-67.94481997918865,5756743.028,5990.36735483871,-713506.6979999996,1478309.8120000002,1538.303654526535,5766000,439200,540000,51000,1030200,25200,399237.83999999997,14415.000000000002,1348.2512562814072,394.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,310,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,0.3462,52796779,0.293,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,761898,268066.22562284,188397,1538.303654526535,1478309.8120000002
2420,BILOXI,5812,42319526.88,7281.405175498968,3463660.75,595.9498881624222,30893254.6224,5315.425778114247,-25328335.492399998,11426272.257600002,1965.9793973847216,34872000,1594800,2670000,153000,4417800,639600,2302946.88,87180,1384.6584766584765,289.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,1122,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,0.3302,638689708,0.26,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,3290688,1747548.769029,432143,1546.8751083964214,17883311.824
5921,BOONEVILLE,1321,9550177.68,7229.506192278576,664790.4680000003,503.24789401968155,8130813.468,6155.044260408781,-2833811.378,1419364.2119999998,1074.4619318697955,7926000,489600,675000,153000,1317600,0,286762.68,19815,2166.6639004149374,-364.59617014833316,0,66.05,238.9689,290.62,136,90,15,460,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,0.1809,50691579,0.22,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,795434,373889.82572456,116419,1074.4619318697955,1419364.2119999998
