dist_id,district,total_enroll,model_4_total_funding,model_4_pp_funding,model_4_diff_total,model_4_diff_pp,model_4_state_share,model_4_state_share_pp,model_4_local_diff_total,model_4_local_share_total,model_4_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,model_4_local_mills_total,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4820,ABERDEEN,998,7605234.330296452,7620.475280858169,294119.69029645156,294.7091085134789,5551821.06111641,5562.946955026463,-4060843.340819958,2053413.2691800422,2057.5283258317054,5988000,266400,570000,51000,887400,0,503111.76,14970.000000000002,190200,21552.570296452384,929.9161290322581,472.76613780438754,0,49.900000000000006,419.2598,308.382,74,76,5,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0.4201,317,108296862,0.309,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,3032312.136,177.64668769716087,600,422.35331230283913
0200,ALCORN COUNTY,3188,23565196.8,7391.843412797993,828170.756000001,259.7775269761605,18749138.756,5881.16021204517,-4643587.446,4816058.044,1510.683200752823,19128000,1400400,1200000,204000,2804400,34800,728776.7999999999,47820,821400,0,768.9033391915646,-307.1036216346736,29,159.4,607.314,599.344,389,160,20,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,0.1905,1369,172002073,0.188,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,2366894,915285.12886944,703630,1510.683200752823,0,4816058.044,513.9737034331629,600,86.02629656683712
0300,AMITE COUNTY,853,7162647.912578158,8397.008103843093,194667.31257815845,228.2149033741598,5228732.976182055,6129.815915805457,-3718945.8836038974,1933914.936396103,2267.1921880376353,5118000,572400,435000,102000,1109400,0,561956.4,12795.000000000002,164400,196096.51257815756,181.86343612334804,646.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0.549,274,115040320,0.29,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,3221128.96,709.529197080292,600,-109.52919708029196
4821,AMORY,1518,11212649.76,7386.462292490119,461988.62399999984,304.3403320158104,8728367.624,5749.912795783926,-2178120.414,2484282.136,1636.5494967061923,9108000,608400,540000,153000,1301400,14400,430079.76,22770,336000,0,769.55859375,-53.66003463171569,12,75.9,358.3998,315.744,169,72,15,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0.2361,560,88724362,0.208,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,1104393,449311.50568,236621,1636.5494967061925,0,2484282.136,422.5375,600,177.46249999999998
0400,ATTALA COUNTY,1004,7795906.629292891,7764.847240331565,336283.1692928914,334.94339571005185,5691011.839383811,5668.338485442043,-3715165.61009092,2104894.7899090806,2096.5087548895226,6024000,421200,450000,51000,922200,0,435776.16,15060,201600,197270.4692928911,277,393.39946008908794,0,50.2,363.1468,294.17199999999997,117,60,5,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,0.3617,336,104843101,0.293,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,2935606.8279999997,1001.0535714285714,600,-401.05357142857144
5920,BALDWYN,756,5497140.48,7271.349841269842,62499.85000000056,82.6717592592604,4012912.5504,5308.0853841269845,-2964661.4203999992,1484227.9296000001,1963.2644571428573,4536000,255600,247500,0,503100,6000,257100.48,11340.000000000002,183600,0,288.7307692307695,173.94652716989094,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0.2834,306,86041605,0.246,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,473072,219832.36697524,264705,1663.3103571428574,0,2409164.94,865.0490196078431,600,-265.0490196078431
2320,BAY ST. LOUIS,1672,12574058.4,7520.369856459331,461260.2599999998,275.8733612440192,9179062.632,5489.86999521531,-6928684.902,3394995.768,2030.4998612440193,10032000,687600,712500,102000,1502100,40800,588878.4,25080.000000000004,385200,0,842.9324324324325,165.86158011745738,34,83.60000000000001,490.732,411.31200000000007,191,95,10,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,0.2935,642,252562707,0.246,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,1252592,507484.8150658,119480,1676.225562200957,0,7071755.796,186.10591900311528,600,413.8940809968847
0500,BENTON COUNTY,961,7573060.044608874,7880.395467855228,272712.2326088743,283.77963851079494,6094750.232608874,6342.091813328693,-713506.6979999996,1478309.8120000002,1538.303654526535,5766000,439200,540000,51000,1030200,25200,399237.83999999997,14415.000000000002,186000,152007.20460887437,1348.2512562814072,394.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,0.3462,310,52796779,0.293,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,1478309.8120000002,607.7322580645161,600,-7.732258064516145
2420,BILOXI,5812,42992726.88,7397.234494150035,4136860.75,711.7792068134895,31384690.6224,5399.9811807295255,-25146571.492399998,11608036.257600002,1997.2533134205096,34872000,1594800,2670000,153000,4417800,639600,2302946.88,87180,673200,0,1384.6584766584765,289.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,0.3302,1122,638689708,0.26,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,3290688,1747548.769029,432143,1546.8751083964214,0,17883311.824,385.15418894830657,600,214.84581105169343
5921,BOONEVILLE,1321,9826177.68,7438.438819076457,940790.4680000003,712.180520817562,8406813.468,6363.976887206662,-2833811.378,1419364.2119999998,1074.4619318697955,7926000,489600,675000,153000,1317600,0,286762.68,19815,276000,0,2166.6639004149374,-364.59617014833316,0,66.05,238.9689,290.62,136,90,15,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,0.1809,460,50691579,0.22,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,795434,373889.82572456,116419,1074.4619318697955,0,1419364.2119999998,253.08478260869566,600,346.91521739130434
