dist_id,district,model_4_total_funding,model_4_pp_funding,model_4_diff_pp,model_4_local_share_total,model_4_diff_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,geoid,total_enroll,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gifted_enroll,sparsity_weighted_enroll,model_4_local_mills_total,model_4_local_pct_total,model_4_local_share_pp,model_4_state_share,model_4_state_share_pp,model_4_local_diff_total,current_local_pp,model_4_local_diff_pp,sped_pp_funding,sped_model_4_pp,sped_pp_diff,at_risk_pp_funding,ed_model_4_pp,ed_pp_diff,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4820,ABERDEEN,8366723.936759666,8383.490918596859,-106.04321507047462,2259015.46292511,-105831.12864033319,6337300,281940,603250,53975,939165,0,798689.919,15843.250000000002,201295,30006.294759665958,44424.473,2800360,998,4183.5550647294585,8472555.065399999,8489.534133667334,6533995.02,1938560.0454,3032312.136,1938560.0454,4.6400706363317905,5461563,5472.508016032064,6547.089198396793,7179852.02,7194.240501002004,0,76,64,71,87,49,70,79,68,74,103,81,77,78,998,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,232105.88,682414.14,419.2598,308.382,108296.862,108.51388977955912,4147539.884,4155.851587174348,5241291.974599999,5251.795565731462,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1942.444935270541,0.003599293636682095,0.0701,69.9598,49.900000000000006,1312.86892,3032312.136,2259015.46292511,2263.5425480211525,6107708.473834556,6119.948370575707,-3855241.1470748903,6126.509629258518,-3862.967081237365,4795.245161290322,6059.129032258064,1263.883870967742,727.2338621956125,1905,1177.7661378043877,177.64668769716087,635,457.35331230283913
0200,ALCORN COUNTY,25325477.67,7944.0017785445425,28.229493726475084,4816058.044,89995.62600000203,20243800,1482090,1270000,215900,2967990,36830,1156933.17,50609.5,869315,0,0,2800390,3188,1456.316799247177,25235482.044,7915.772284818067,20419424,4816058.044,4816058.044,6069361.050000001,8.627912006495674,17423282,5465.270388958595,6405.089084065245,22479115,7051.16530740276,135,210,243,246,219,233,194,233,232,240,256,235,237,200,3188,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,711043.38,1787412.62,607.314,599.344,172002.073,53.95297145545797,17663056.956,5540.482106649937,16409753.95,5147.350674404015,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0,0,0,159.4,3988.2642,4816058.044,6837878.970900001,1510.683200752823,20509419.626000002,6433.31857779172,-4643587.446,2967.266464868256,-1456.5832641154332,4159.743409490334,5216.151142355009,1056.4077328646754,1507.1036216346736,1905,397.8963783653264,513.9737034331629,635,121.02629656683712
2545,AMBITION PREP,3834056.34,7987.617375,436.22466830794474,747119.549212186,209387.84078781353,3048000,80010,119062.5,0,199072.5,0,514532.88,7620,0,0,64830.96,.,480,NA,3624668.4992121863,7551.392706692055,2877548.95,747119.549212186,747119.549212186,859792.3065000001,Inf,2151984,4483.3,5994.893645833334,3184415.95,6634.199895833333,0,79,79,83,87,67,0,0,0,0,0,0,0,0,395,0.5627,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04329236,1342962.18,AMBITION PR,0,0.401,1608020.68,277.804469,21,15,0,89289.47,118269.48,270.096,192.48,26682.84104329236,55.58925217352575,2437296.400787814,5077.700834974613,2324623.6435,4842.965923958333,NA,NA,NA,NA,NA,NA,NA,41826,134704.84246284,0,1556.499060858721,0,0.2127,102.096,24,603.7884000000001,747119.549212186,1035195.2118,1556.499060858721,3086936.7907878137,6431.1183141412785,-595842.6307878139,2797.8378749999997,-1241.3388141412788,1161.8333333333333,5529.791666666667,4367.958333333334,498.72949789274924,1905,1406.2705021072506,NA,NA,NA
0300,AMITE COUNTY,8076109.601647967,9467.88933370219,191.74595632821547,2180549.592444951,163559.3007479664,5416550,605790,460375,107950,1174115,0,892105.785,13541.375000000002,173990,298018.09664796665,107789.34500000003,2800420,853,4501.490467878077,7912550.3009,9276.143377373974,6099490.67,1813059.6309,3221128.96,1813059.6309,1.1684933064056744,5418370,6352.133645955451,7150.633845252051,6715035.67,7872.257526377492,0,71,63,61,73,63,61,59,59,68,65,73,47,62,853,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,201251.92,542503.75,468.297,247.37,115040.32,134.86555685814773,3493906.71,4096.021934349355,4901976.0391,5746.747994255568,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,2125.509532121923,0.038315066935943255,0.19900000000000007,169.74700000000004,42.650000000000006,1224.8963,3221128.96,2180549.592444951,2556.330120099591,5895560.009203015,6911.559213602596,-3472311.227555049,6627.034958968347,-4070.7048388687563,4705.361233480176,5172.312775330396,466.95154185021966,553.0761821404792,1905,1351.9238178595208,709.529197080292,635,-74.529197080291965
4821,AMORY,12094304.869,7967.262759552043,104.27639855072539,2484282.136,158291.5730000008,9639300,643890,571500,161925,1377315,15240,682751.6190000001,24098.25,355600,0,0,2800450,1518,1434.4505032938075,11936013.296,7862.986361001317,9451731.16,2484282.136,2484282.136,2808486.5832,19.73466969355038,8630797,5685.637022397892,6226.436864295125,10401802.16,6852.307088274045,0,119,121,111,103,131,123,87,123,117,122,117,108,99,1518,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,355521.69,829830.47,358.3998,315.744,88724.362,58.44819631093544,7917520.024,5215.757591567853,7593315.5768,5002.184174440053,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,0,0,75.9,1904.6149400000002,2484282.136,3265462.3146300004,1636.5494967061923,9610022.733000001,6330.71326284585,-2178120.414,3071.4114295125164,-1434.8619328063241,4314.03515625,5380.13671875,1066.1015625,1253.6600346317157,1905,651.3399653682843,422.5375,635,212.46249999999998
0400,ATTALA COUNTY,8551094.301580824,8517.02619679365,-110.4509772103338,2308795.4614268225,-110892.78111917526,6375400,445770,476250,53975,975995,0,691794.654,15938.5,213360,271146.92958082346,7459.218000000027,2800510,1004,3822.272835956175,8661987.0827,8627.477174003983,6680365.01,1981622.0727,2935606.8279999997,1981622.0727,1.7252578138630297,5643432,5620.948207171315,6653.750009960159,7339341.01,7310.10060756972,48,82,84,67,56,69,56,66,82,84,82,68,72,72,1004,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,221821.22,724921.79,363.1468,294.17199999999997,104843.101,104.42539940239044,4403734.182,4386.189424302789,5357718.937299999,5336.373443525896,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1973.7271640438248,0.032747421861369704,0.011700000000000044,11.746800000000043,50.2,1303.92872,2935606.8279999997,2308795.4614268225,2299.5970731342854,6242298.8401540015,6217.429123659364,-3511264.938573178,5796.872908366534,-3497.2758352322485,4790.0329670329675,5362.60989010989,572.5769230769229,806.6005399109121,1905,1098.3994600890878,1001.0535714285714,635,-366.05357142857144
5920,BALDWYN,5953856.012,7875.470915343915,-378.04736851851794,1607541.12324,-285803.8105999995,4800600,270510,261937.5,0,532447.5,6350,408147.01200000005,12001.500000000002,194310,0,0,2800540,756,3994.306292857143,6239659.8226,8253.518283862433,4811051.38,1428608.4426,2409164.94,1428608.4426,11.483745047638775,4166149,5510.7791005291,6363.824576719577,5291142.38,6998.865582010581,0,67,58,56,64,58,56,58,68,67,51,56,39,44,756,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,176942.75,456930.63,214.2504,185.97600000000003,86041.605,113.81164682539682,2881977.44,3812.139470899471,3862533.9374,5109.171874867725,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1889.693707142857,0,0,0,37.800000000000004,937.61512,2409164.94,1607541.12324,2126.377147142857,4346314.8887600005,5749.093768201059,-2841348.2267599995,5884.774272486772,-3758.397125343915,4548.7692307692305,5119.6875,570.9182692307695,1026.053472830109,1905,878.9465271698909,865.0490196078431,635,-230.0490196078431
2320,BAY ST. LOUIS,13619159.96,8145.4305980861245,-141.99051238038192,3677173.1892000004,-237408.13669999875,10617200,727710,754062.5,107950,1589722.5,43180,934844.4600000001,26543.000000000004,407670,0,0,2800570,1672,4276.050306997608,13856568.0967,8287.421110466506,10683196.21,3173371.8867,7071755.796,3173371.8867,89.03631856390174,8998844,5382.0837320574165,6389.471417464114,11753229.21,7029.443307416267,58,113,142,109,125,114,117,115,142,131,112,153,133,90,1672,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,373286.09,999761.12,490.732,411.31200000000007,252562.707,151.05425059808613,4681473.413999999,2799.924290669856,8579857.323299998,5131.493614413875,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1897.9496930023925,0,0,0,83.60000000000001,2144.7495999999996,7071755.796,3677173.1892000004,2199.266261483254,9941986.7708,5946.164336602871,-6646507.480799999,6174.450161483253,-3975.1838999999995,4231.72972972973,5370.684121621622,1138.9543918918916,1034.1384198825426,1905,870.8615801174574,186.10591900311528,635,448.8940809968847
0500,BENTON COUNTY,8277831.509732632,8613.768480471,188.19275518484028,1478309.8120000002,180853.2377326321,6102350,464820,571500,53975,1090295,26670,633790.071,15255.875000000002,196850,212620.56373263182,0,2800600,961,741.696345473465,8096978.272,8425.57572528616,6618668.46,1478309.8120000002,1478309.8120000002,1967707.7442,2.3637321434465077,5252649,5465.81581685744,6887.272070759625,7287806.46,7583.5655150884495,16,93,62,68,74,58,66,73,70,87,76,71,69,60,961,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,220886.26,575744.2,332.6982,281.573,52796.779,54.93941623309053,5809496.648,6045.2618605619145,5320098.7158,5536.002826014568,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,0,0,48.050000000000004,1270.11196,1478309.8120000002,2235014.507627811,1538.303654526535,6799521.697732632,7075.464825944467,-713506.6979999996,2280.7663995837665,-742.4627450572316,3828.6331658291456,5478.869346733668,1650.2361809045224,805.73392228404,1905,1099.26607771596,607.7322580645161,635,27.267741935483855
2420,BILOXI,46719278.672,8038.416839642119,360.14715259807235,12614205.24144,2093175.2509000003,36906200,1687830,2825750,161925,4675505,676910,3655928.172,92265.5,712470,0,0,2800630,5812,4565.054113713008,44626103.4211,7678.269687044047,34408921.93,10217181.4911,17883311.824,10217181.4911,302.4831359357475,29253636,5033.316586373021,5920.323800757054,37841412.93,6510.910689951824,120,459,485,441,447,419,361,430,405,464,493,409,403,405,5812,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1316669.08,3226824.85,1919.1224,1511.12,638689.708,109.89155333792154,19958101.106,3433.9471964900204,27624231.4389,4752.964803664831,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1757.9458862869924,0,0,0,290.6,7357.36672,17883311.824,12614205.24144,2170.3725467033723,34105073.43056,5868.044292938747,-24140402.50856,6323.917369236064,-4153.544822532691,4042.6142506142505,5743.863636363636,1701.2493857493855,910.5978696455213,1905,994.4021303544787,385.15418894830657,635,249.84581105169343
