dist_id,district,total_enroll,model_5_total_funding,model_5_pp_funding,model_5_diff_total,model_5_diff_pp,model_5_state_share,model_5_state_share_pp,model_5_local_diff_total,model_5_local_share_total,model_5_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,model_5_local_mills_total,cte_pp_funding,cte_model_5_pp,cte_pp_diff
4820,ABERDEEN,998,7478480.424791512,7493.467359510533,167365.78479151148,167.7011871658433,5459290.710097804,5470.231172442689,-4095066.895306292,2019189.7146937083,2023.236187067844,5888200,261960,560500,50150,872610,0,494726.56399999995,14720.500000000002,187030,21193.360791511514,834.4967741935488,452.76613780438754,0,49.900000000000006,419.2598,308.382,74,76,5,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0.4201,317,108296862,0.309,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,3032312.136,177.64668769716087,590,412.35331230283913
0200,ALCORN COUNTY,3188,23172443.52,7268.646022584692,435417.4759999998,136.5801367628601,18356385.476,5757.962821831869,-4643587.446,4816058.044,1510.683200752823,18809200,1377060,1180000,200600,2757660,34220,716630.5199999999,47023,807710,0,686.7592267135324,-327.1036216346736,29,159.4,607.314,599.344,389,160,20,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,0.1905,1369,172002073,0.188,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,2366894,915285.12886944,703630,1510.683200752823,0,4816058.044,513.9737034331629,590,76.02629656683712
0300,AMITE COUNTY,853,7043270.447368521,8257.05796877904,75289.84736852162,88.26476831010677,5141587.426579021,6027.6523172087,-3751177.7992104995,1901683.0207895008,2229.405651570341,5032700,562860,427750,100300,1090910,0,552590.4600000001,12581.750000000002,161660,192828.23736852163,100.40969162995589,626.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0.549,274,115040320,0.29,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,3221128.96,709.529197080292,590,-119.52919708029196
4821,AMORY,1518,11025772.264,7263.354587615284,275111.1280000005,181.23262714097564,8541490.128,5626.805090909092,-2178120.414,2484282.136,1636.5494967061923,8956200,598260,531000,150450,1279710,14160,422911.764,22390.5,330400,0,684.83203125,-73.66003463171569,12,75.9,358.3998,315.744,169,72,15,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0.2361,560,88724362,0.208,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,1104393,449311.50568,236621,1636.5494967061925,0,2484282.136,422.5375,590,167.46249999999998
0400,ATTALA COUNTY,1004,7665974.85213801,7635.433119659372,206351.3921380099,205.5292750378585,5596161.642060747,5573.866177351342,-3750247.189922738,2069813.2100772627,2061.566942308031,5923600,414180,442500,50150,906830,0,428513.224,14809,198240,193982.62813800958,192.54945054944983,373.39946008908794,0,50.2,363.1468,294.17199999999997,117,60,5,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,0.3617,336,104843101,0.293,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,2935606.8279999997,1001.0535714285714,590,-411.05357142857144
5920,BALDWYN,756,5405521.472,7150.1606772486775,-29119.15799999982,-38.51740476190389,3946030.67456,5219.617294391534,-2989398.5525599997,1459490.79744,1930.5433828571431,4460400,251340,243375,0,494715,5900,252815.472,11151.000000000002,180540,0,208.1057692307695,153.94652716989094,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0.2834,306,86041605,0.246,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,473072,219832.36697524,264705,1663.3103571428574,0,2409164.94,865.0490196078431,590,-275.0490196078431
2320,BAY ST. LOUIS,1672,12364490.76,7395.0303588516745,251692.61999999918,150.5338636363631,9026078.2548,5398.372161961722,-6985268.164799999,3338412.5052,1996.6581968899523,9864800,676140,700625,100300,1477065,40120,579063.76,24662.000000000004,378780,0,758.3547297297291,145.86158011745738,34,83.60000000000001,490.732,411.31200000000007,191,95,10,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,0.2935,642,252562707,0.246,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,1252592,507484.8150658,119480,1676.225562200957,0,7071755.796,186.10591900311528,590,403.8940809968847
0500,BENTON COUNTY,961,7446842.377198727,7749.055543390975,146494.56519872695,152.43971404654167,5968532.565198727,6210.75188886444,-713506.6979999996,1478309.8120000002,1538.303654526535,5669900,431880,531000,50150,1013030,24780,392583.876,14174.750000000002,182900,149473.75119872644,1261.9698492462312,374.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,0.3462,310,52796779,0.293,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,1478309.8120000002,607.7322580645161,590,-17.732258064516145
2420,BILOXI,5812,42276181.432,7273.947252580867,3420315.3019999936,588.4919652443214,30861612.445359997,5309.981494384033,-25340038.76336,11414568.986639999,1963.965758196834,34290800,1568220,2625500,150450,4344170,628940,2264564.432,85727,661980,0,1294.2039312039315,269.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,0.3302,1122,638689708,0.26,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,3290688,1747548.769029,432143,1546.8751083964214,0,17883311.824,385.15418894830657,590,204.84581105169343
5921,BOONEVILLE,1321,9662408.052,7314.464838758516,777020.8399999999,588.206540499621,8243043.84,6240.002906888721,-2833811.378,1419364.2119999998,1074.4619318697955,7793900,481440,663750,150450,1295640,0,281983.30199999997,19484.75,271400,0,2075.54356846473,-384.59617014833316,0,66.05,238.9689,290.62,136,90,15,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,0.1809,460,50691579,0.22,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,795434,373889.82572456,116419,1074.4619318697955,0,1419364.2119999998,253.08478260869566,590,336.91521739130434
