sep=; 
ID;GEOID;Name;Short Name;Total Enrollment (FY23);Revenue: MAEP (FY24);Revenue: MAEP PP (FY24);Revenue: Local (FY22);Revenue: Local PP (FY22);Revenue: Total (MAEP + Local);Revenue: Total PP (MAEP + Local);Revenue: Federal (FY22);Revenue: Federal PP (FY22);Projected Revenue: State Formula;Projected Revenue: State Formula PP;Projected Revenue: Total (State + Local);Projected Revenue: Total PP (State + Local);Change in Revenue: Total (State + Local);Change in Revenue: Total PP (State + Local);Assessed Value (FY22);Assessed Value PP (FY22);Direct Certification % (FY24);Census Poverty % (FY21);ELL % (FY23);Vocational % (FY23);SPED Tier 1 %;SPED Tier 2 %;SPED Tier 3 %;Students per Square Mile;Calculations: Weighted Enrollment;Calculations: Formula Amount;Calculations: Mills Rule Expectation;Calculations: Maximum % Expectation;Calculations: Sparsity Multiplier %
4820;2800360;ABERDEEN;ABERDEEN;998;5619475;5630;6114256;6126;11733731;11757;4672500;4681;5401240;5412;11515497;11538;-218234;-218;108296862;108513;0.42;0.31;0;0.32;0.063;0.087;0.005;4.6;1233;7398959;3032312;1997719;0
200;2800390;ALCORN COUNTY;ALCORN COUN;3188;17920968;5621;9459645;2967;27380613;8588;7744573;2429;18212832;5712;27672478;8680;291864;91;172002073;53952;0.19;0.19;0.01;0.43;0.109;0.063;0.006;8.6;3838;23028891;4816058;6217800;0
2545;.;AMBITION PREP;AMBITION PR;395;2669990;6759;1342962;3399;4012952;10159;1608020;4070;2019855;5113;3362817;8513;-650134;-1645;26682841;67551;0.56;0.4;0;0;0.041;0.051;0;NaN;461;2766924;747119;747069;0
300;2800420;AMITE COUNTY;AMITE COUNT;853;5355735;6278;5652860;6627;11008595;12905;7452499;8736;4839929;5674;10492790;12301;-515805;-604;115040320;134865;0.55;0.29;0;0.32;0.147;0.108;0.012;1.2;1105;6630040;3221128;1790110;0
4821;2800450;AMORY;AMORY;1518;8266379;5445;4662402;3071;12928781;8516;5228334;3444;8481887;5587;13144290;8658;215508;141;88724362;58448;0.24;0.21;0.01;0.37;0.096;0.063;0.01;19.7;1827;10966169;2484282;2960865;0
400;2800510;ATTALA COUNTY;ATTALA COUN;1004;5733622;5710;5820060;5796;11553682;11507;3534710;3520;5369865;5348;11189925;11145;-363756;-362;104843101;104425;0.36;0.29;0;0.33;0.112;0.065;0.005;1.7;1225;7355980;2935606;1986114;0
5920;2800540;BALDWYN;BALDWYN;756;4177178;5525;4448889;5884;8626067;11410;2408297;3185;3997418;5287;8446307;11172;-179759;-237;86041605;113811;0.28;0.25;0.01;0.4;0.077;0.061;0;11.5;912;5475915;2409164;1478497;0
2320;2800570;BAY ST. LOUIS;BAY ST. LOU;1672;9310149;5568;10323680;6174;19633829;11742;8233825;4924;8979713;5370;19303394;11545;-330435;-197;252562707;151054;0.29;0.25;0.02;0.38;0.084;0.087;0.006;89;2050;12300978;7071755;3321264;0
500;2800600;BENTON COUNTY;BENTON COUN;961;5822038;6058;2191816;2280;8013854;8339;5808895;6044;5594952;5822;7786768;8102;-227085;-236;52796779;54939;0.35;0.29;0.02;0.32;0.112;0.089;0.005;2.4;1178;7073262;1478309;1909780;0
2420;2800630;BILOXI;BILOXI;5812;29865428;5138;36754607;6323;66620035;11462;29870477;5139;30130066;5184;66884674;11508;264638;45;638689708;109891;0.33;0.26;0.09;0.19;0.059;0.078;0.003;302.5;6879;41274063;17883311;11143997;0
5921;2800820;BOONEVILLE;BOONEVILLE;1321;7466023;5651;4253175;3219;11719198;8871;2787017;2109;8034504;6082;12287679;9301;568481;430;50691579;38373;0.18;0.22;0;0.35;0.092;0.079;0.011;192;1575;9453868;1419364;2552544;0
4320;2800840;BROOKHAVEN;BROOKHAVEN;2586;13459833;5204;12128797;4690;25588630;9895;7496815;2899;13523608;5229;25652405;9919;63775;24;215101417;83179;0.39;0.28;0.01;0.22;0.092;0.059;0.004;17.2;3087;18525491;6022839;5001882;0
700;2800870;CALHOUN COUNTY;CALHOUN COU;2080;12030592;5783;4965747;2387;16996339;8171;7455794;3584;12326121;5926;17291869;8313;295529;142;101972223;49025;0.27;0.32;0.06;0.38;0.12;0.062;0.005;3.5;2530;15181343;2855222;4098962;0
4520;2800900;CANTON;CANTON;3166;15874091;5013;16544485;5225;32418576;10239;11363603;3589;17273937;5456;33818423;10681;1399846;442;288604618;91157;0.49;0.31;0.1;0.31;0.047;0.056;0.005;16.9;3943;23662928;8080929;6388990;0
