ID,GEOID,Name,Short Name,Total Enrollment (FY23),Average Daily Attendance (FY23),Revenue: MAEP (FY24),Revenue: MAEP PP (FY24),Revenue: Local (FY22),Revenue: Local PP (FY22),Revenue: Total (MAEP + Local),Revenue: Total PP (MAEP + Local),Revenue: Federal (FY22),Revenue: Federal PP (FY22),Projected Revenue: State Formula,Projected Revenue: State Formula PP,Projected Revenue: Total (State + Local),Projected Revenue: Total PP (State + Local),Change in Revenue: Total (State + Local),Change in Revenue: Total PP (State + Local),Assessed Value (FY22),Assessed Value PP (FY22),Direct Certification % (FY24),Census Poverty % (FY21),ELL % (FY23),Vocational % (FY23),SPED Tier 1 %,SPED Tier 2 %,SPED Tier 3 %,Students per Square Mile,Calculations: Weighted Enrollment,Calculations: Formula Amount,Calculations: Formula Amount PP,Calculations: Mills Rule Expectation,Calculations: Maximum % Expectation,Calculations: Sparsity Multiplier %
4820,2800360,ABERDEEN,ABERDEEN,998,929,6533995,6547,6114256,6126,12648251,12673,4672500,4681,6112118,6124,12226375,12250,-421876,-422,108296862,108513,0.42,0.31,0,0.32,0.074,0.076,0.005,4.6,1318,8372765,8389,3032312,2260646,0.004
200,2800390,ALCORN COUNTY,ALCORN COUN,3188,2762,20419424,6405,9459645,2967,29879069,9372,7744573,2429,20508149,6432,29967795,9400,88725,27,172002073,53952,0.19,0.19,0.01,0.43,0.122,0.05,0.006,8.6,3988,25324207,7943,4816058,6837536,0
2545,.,AMBITION PREP,AMBITION PR,480,480,2877548,5994,1342962,2797,4220511,8792,1608020,3350,3089984,6437,4432946,9235,212435,442,26682841,55589,0.56,0.4,0,0,0.044,0.031,0,NaN,604,3837104,7993,747119,1036018,0
300,2800420,AMITE COUNTY,AMITE COUNT,853,725,6099490,7150,5652860,6627,11752351,13777,7452499,8736,5899184,6915,11552045,13542,-200306,-234,115040320,134865,0.55,0.29,0,0.32,0.186,0.068,0.012,1.2,1272,8081074,9473,3221128,2181890,0.038
4821,2800450,AMORY,AMORY,1518,1359,9451731,6226,4662402,3071,14114133,9297,5228334,3444,9609070,6330,14271472,9401,157339,103,88724362,58448,0.24,0.21,0.01,0.37,0.111,0.047,0.01,19.7,1904,12093352,7966,2484282,3265205,0
400,2800510,ATTALA COUNTY,ATTALA COUN,1004,851,6680365,6653,5820060,5796,12500425,12450,3534710,3520,6246865,6221,12066926,12018,-433499,-431,104843101,104425,0.36,0.29,0,0.33,0.117,0.06,0.005,1.7,1347,8557350,8523,2935606,2310484,0.033
5920,2800540,BALDWYN,BALDWYN,756,681,4811051,6363,4448889,5884,9259940,12248,2408297,3185,4346314,5749,8795204,11633,-464736,-614,86041605,113811,0.28,0.25,0.01,0.4,0.094,0.044,0,11.5,937,5953856,7875,2409164,1607541,0
2320,2800570,BAY ST. LOUIS,BAY ST. LOU,1672,1547,10683196,6389,10323680,6174,21006876,12563,8233825,4924,9941523,5945,20265203,12120,-741672,-443,252562707,151054,0.29,0.25,0.02,0.38,0.114,0.057,0.006,89,2144,13618524,8145,7071755,3677001,0
500,2800600,BENTON COUNTY,BENTON COUN,961,833,6618668,6887,2191816,2280,8810484,9168,5808895,6044,6803079,7079,8994895,9359,184410,191,52796779,54939,0.35,0.29,0.02,0.32,0.127,0.075,0.005,2.4,1304,8281388,8617,1478309,2235974,0.026
2420,2800630,BILOXI,BILOXI,5812,5349,34408921,5920,36754607,6323,71163529,12244,29870477,5139,34104378,5867,70858985,12191,-304543,-52,638689708,109891,0.33,0.26,0.09,0.19,0.076,0.061,0.003,302.5,7357,46718326,8038,17883311,12613948,0
