ELSI Export,,,,,,
,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,
,,,,,,
This is a District based table with the following filters applied: State(s) (All Years): MISSISSIPPI,,,,,,
,,,,,,
Agency Name,State Name [District] Latest available year,Latitude [District] 2021-22,Longitude [District] 2021-22,Agency Type [District] 2021-22,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ABERDEEN SCHOOL DIST,Mississippi,33.826076,-88.565636,1-Regular local school district that is NOT a component of a supervisory union,ABERDEEN SCHOOL DIST,2800360
ALCORN SCHOOL DIST,Mississippi,34.914232,-88.533476,1-Regular local school district that is NOT a component of a supervisory union,ALCORN SCHOOL DIST,2800390
AMBITION PREPARATORY CHARTER SCHOOL,MISSISSIPPI,32.331176,-90.267163,7-Independent Charter District,Ambition Preparatory Charter School,2800197
AMITE COUNTY SCHOOL DISTRICT,Mississippi,31.153189,-90.801272,1-Regular local school district that is NOT a component of a supervisory union,AMITE COUNTY SCHOOL DISTRICT,2800420
AMORY SCHOOL DIST,Mississippi,33.98624,-88.489612,1-Regular local school district that is NOT a component of a supervisory union,AMORY SCHOOL DIST,2800450
ATTALA CO SCHOOL DIST,Mississippi,33.058191,-89.590526,1-Regular local school district that is NOT a component of a supervisory union,ATTALA CO SCHOOL DIST,2800510
BALDWYN SCHOOL DISTRICT,Mississippi,34.509199,-88.634176,1-Regular local school district that is NOT a component of a supervisory union,BALDWYN SCHOOL DISTRICT,2800540
BAY ST LOUIS WAVELAND SCHOOL DIST,Mississippi,30.31249,-89.329121,1-Regular local school district that is NOT a component of a supervisory union,BAY ST LOUIS WAVELAND SCHOOL DIST,2800570
BENTON CO SCHOOL DIST,Mississippi,34.832042,-89.174724,1-Regular local school district that is NOT a component of a supervisory union,BENTON CO SCHOOL DIST,2800600
BILOXI PUBLIC SCHOOL DIST,Mississippi,30.396622,-88.9252,1-Regular local school district that is NOT a component of a supervisory union,BILOXI PUBLIC SCHOOL DIST,2800630
BOONEVILLE SCHOOL DIST,Mississippi,34.658571,-88.564817,1-Regular local school district that is NOT a component of a supervisory union,BOONEVILLE SCHOOL DIST,2800820
