dist_id,district,total_enroll,model_9_total_funding,model_9_pp_funding,model_9_diff_total,model_9_diff_pp,model_9_state_share,model_9_state_share_pp,model_9_state_total_diff,model_9_local_share_total,model_9_local_share_pp,model_9_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,local_funding_28_mill,local_funding_27_pct,totalEnrollment,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
4820,ABERDEEN,998,8955538.87552476,8973.485847219197,482983.8105247598,483.9517132191977,6537543.379133074,6550.644668470014,3548.35913307406,2417995.496391685,2422.8411787491837,3032312.136,6586800,293040,627000,56100,976140,0,829620,16467.000000000004,209220,46173.468,291118.4075247582,1938560.045,6533995.02,6547.089198,7179852.02,7194.240501,8472555.065,8489.534134,1502.4322580645166,1252.3152181384248,0,49.900000000000006,419,308,74,76,5,3032312.136,1938560.045,998,0.4201,317,108296862,0.309,232105.88,682414.14,108296.862,108.5138898,4147539.884,4155.851587,5241291.975,743263,304899.9236,56314,1942.444935,0.03359929364,0.0701,69.9598,1312.79098,177.64668769716087
200,ALCORN COUNTY,3188,26321922,8256.562735257214,1086439.960000001,340.7904502572137,21505863.956,6745.879534504392,1086439.9560000002,4816058.044,1510.683200752823,4816058.044,21040800,1540440,1320000,224400,3084840,38280,1201860,52602,903540,0,0,4816058.044,20419424,6405.089084,22479115,7051.165307,25235482.04,7915.772285,1261.768014059754,472.11675634266885,29,159.4,607,599,389,160,20,4816058.044,6069361.05,3188,0.1905,1369,172002073,0.188,711043.38,1787412.62,172002.073,53.95297146,17663056.96,5540.482107,16409753.95,2366894,915285.1289,703630,1510.683201,0,0,0,3988.17,513.9737034331629
2545,AMBITION PREP,480,4120297.01424,8583.952113,495628.5152400001,1032.5594059999994,3373177.46512,7027.453052333333,495628.51511999965,747119.54912,1556.4990606666665,747119.54912,3168000,83160,123750,0,206910,0,534600,7920,0,67383.36,135483.65424000003,747119.5492,2877548.95,5994.893646,3184415.95,6634.199896,3624668.499,7551.392707,4585.666666666667,1481.093175925926,0,24,270,192,21,15,0,747119.5492,859792.3065,395,0.5627,0,26682841.04,0.401,89289.47,118269.48,26682.84104,55.58925217,2437296.401,5077.700835,2324623.644,41826,134704.8425,0,1556.499061,0.034,0.2127,102.096,603.7596000000001,NA
300,AMITE COUNTY,853,8635967.90665352,10124.229667823587,723417.6056535197,848.0862908235868,6304256.571857069,7390.687657511217,204765.90185706876,2331711.3347964506,2733.542010312369,3221128.96,5629800,629640,478500,112200,1220340,0,926640,14074.500000000002,180840,112033.02000000002,552240.3866535202,1813059.631,6099490.67,7150.633845,6715035.67,7872.257526,7912550.301,9276.143377,670.5859030837,1426.572827136752,0,42.650000000000006,468,247,159,58,10,3221128.96,1813059.631,853,0.549,274,115040320,0.29,201251.92,542503.75,115040.32,134.8655569,3493906.71,4096.021934,4901976.039,1068117,259003.9169,194411,2125.509532,0.06831506694,0.19900000000000007,169.74700000000004,1224.8072,709.529197080292
4821,AMORY,1518,12569667,8280.41304347826,633653.6999999993,417.42668247825986,10085384.864,6643.863546772069,633653.7039999999,2484282.136,1636.5494967061923,2484282.136,10018800,669240,594000,168300,1431540,15840,708840,25047.000000000004,369600,0,0,2484282.136,9451731.16,6226.436864,10401802.16,6852.307088,11936013.3,7862.986361,1277.91796875,724.9399282122906,12,75.9,358,316,169,72,15,2484282.136,2808486.583,1518,0.2361,560,88724362,0.208,355521.69,829830.47,88724.362,58.44819631,7917520.024,5215.757592,7593315.577,1104393,449311.5057,236621,1636.549497,0,0,0,1904.4950000000003,422.5375
400,ATTALA COUNTY,1004,9145620.541680157,9109.183806454339,483633.4586801566,481.70663245433934,6676302.995426515,6649.704178711669,-4062.014573484659,2469317.5462536425,2459.4796277426717,2935606.8279999997,6626400,463320,495000,56100,1014420,0,718740,16566,221760,7752.888000000028,539981.6536801574,1981622.073,6680365.01,6653.75001,7339341.01,7310.100608,8661987.083,8627.477174,783.7032967032965,1173.073264738292,0,50.2,363,294,117,60,5,2935606.828,1981622.073,1004,0.3617,336,104843101,0.293,221821.22,724921.79,104843.101,104.4253994,4403734.182,4386.189424,5357718.937,871786,292914.4049,336354,1973.727164,0.06274742186,0.011700000000000044,11.746800000000043,1303.8846800000001,1001.0535714285714
5920,BALDWYN,756,6187764,8184.873015873016,-51895.82299999986,-68.64526812698386,4517067.72,5974.957301587301,-293983.66000000015,1670696.28,2209.9157142857143,2409164.94,4989600,281160,272250,0,553410,6600,423720,12474.000000000002,201960,0,0,1428608.443,4811051.38,6363.824577,5291142.38,6998.865582,6239659.823,8253.518284,772.4807692307695,952.7459485981308,5,37.800000000000004,214,186,71,33,0,2409164.94,1428608.443,756,0.2834,306,86041605,0.246,176942.75,456930.63,86041.605,113.8116468,2881977.44,3812.139471,3862533.937,473072,219832.367,264705,1889.693707,0,0,0,937.5400000000001,865.0490196078431
2320,BAY ST. LOUIS,1672,14155878,8466.434210526315,299309.9000000004,179.0131005263156,10333790.94,6180.49697368421,-349405.2700000014,3822087.06,2285.9372368421054,7071755.796,11035200,756360,783750,112200,1652310,44880,972180,27588.000000000004,423720,0,0,3173371.887,10683196.21,6389.471417,11753229.21,7029.443307,13856568.1,8287.42111,1350.3986486486483,946.4260384928716,34,83.60000000000001,491,411,191,95,10,7071755.796,3173371.887,1672,0.2935,642,252562707,0.246,373286.09,999761.12,252562.707,151.0542506,4681473.414,2799.924291,8579857.323,1252592,507484.8151,119480,1897.949693,0,0,0,2144.8299999999995,186.10591900311528
500,BENTON COUNTY,961,8855843.800493648,9215.238085841465,758865.5284936484,789.6623608414648,7377533.988493648,7676.93443131493,758865.5284936484,1478309.8120000002,1538.303654526535,1478309.8120000002,6342600,483120,594000,56100,1133220,27720,659340,15856.500000000002,204600,0,472507.30049364886,1478309.812,6618668.46,6887.272071,7287806.46,7583.565515,8096978.272,8425.575725,1865.9396984924624,1174.9963195195196,21,48.050000000000004,333,282,122,72,5,1478309.812,1967707.744,961,0.3462,310,52796779,0.293,220886.26,575744.2,52796.779,54.93941623,5809496.648,6045.261861,5320098.716,761898,268066.2256,188397,1538.303655,0.05636267857,0,0,1270.2025,607.7322580645161
2420,BILOXI,5812,48558378,8354.848245010324,3932274.579999998,676.5785580103238,35447615.94,6099.039218857536,1038694.0099999979,13110762.06,2255.8090261527873,17883311.824,38359200,1754280,2937000,168300,4859580,703560,3799620,95898.00000000001,740520,0,0,10217181.49,34408921.93,5920.323801,37841412.93,6510.91069,44626103.42,7678.269687,1927.3857493857495,1069.3440495049504,533,290.6,1919,1511,443,356,15,17883311.82,10217181.49,5812,0.3302,1122,638689708,0.26,1316669.08,3226824.85,638689.708,109.8915533,19958101.11,3433.947196,27624231.44,3290688,1747548.769,432143,1757.945886,0,0,0,7357.33,385.15418894830657
