dist_id,district,model_2_diff_total,model_2_diff_pp,ell_funding,conc_pov_funding,sparsity_funding,model_2_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gr_9_12_enroll,gifted_enroll,conc_pov_weight_adj,conc_pov_adm,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,gr_9_12_funding,model_2_total_funding,model_2_pp_funding,model_2_local_mills_total,model_2_local_pct_total,model_2_local_share_total,model_2_local_share_pp,model_2_state_share,model_2_local_diff_total,current_local_pp,model_2_local_diff_pp,model_2_state_diff_total,model_2_state_diff_pp,sped_pp_funding,sped_model_2_pp,sped_pp_diff,at_risk_pp_funding,ed_model_2_pp,ed_pp_diff,cte_pp_funding,cte_model_2_pp,cte_pp_diff
4820,ABERDEEN,369889.2472865693,370.6305083031757,0,17452.025999999958,20834.15128657064,5618.369576872942,2800360,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,4582.858076152304,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,339,49.900000000000006,0.02009999999999995,20.059799999999953,5788400,257520,551000,49300,857820,607926.71,14471.000000000002,275790,98310,7681003.88728657,7696.396680647866,3032312.136,2073871.049567374,2073871.049567374,2078.027103774924,5607132.837719196,-4040385.5604326264,6126.509629258518,-4048.4825254835937,-658199.1622808035,-659.5181986781599,4795.245161290322,5534.322580645161,739.0774193548386,727.2338621956125,1450,722.7661378043875,177.64668769716087,870,692.3533123028392
0200,ALCORN COUNTY,893325.256000001,280.214948557089,42050,0,0,5901.597633626098,2800390,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,4575.2450031367625,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0,928,159.4,0,0,18490400,1353720,1160000,197200,2710920,880605.2999999999,46226,1191030,269120,23630351.3,7412.280834378921,4816058.044,6380194.851000001,4816058.044,1510.683200752823,18814293.256,-4643587.446,2967.266464868256,-1456.5832641154332,-1166365.743999999,-365.86127478042636,4159.743409490334,4764.358523725835,604.6151142355011,1507.1036216346736,1450,-57.10362163467357,513.9737034331629,870,356.0262965668371
0300,AMITE COUNTY,353382.9021588862,414.2824175367941,0,110574.39000000001,189559.96215888567,6265.645201144181,2800420,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,468.297,247.37,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,5110.239624853459,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,247,42.650000000000006,0.14900000000000002,127.09700000000002,4947400,553320,420500,98600,1072420,679030.65,12368.500000000002,238380,71630,7321363.502158886,8583.075618005727,3221128.96,1976768.1455828992,1976768.1455828992,2317.4304168615467,5344595.356575986,-3676092.674417101,6627.034958968347,-4309.604542106801,-626684.6434240136,-734.6830520797348,4705.361233480176,4724.31718061674,18.955947136563736,553.0761821404792,1450,896.9238178595208,709.529197080292,870,160.47080291970804
4821,AMORY,487389.57400000095,321.073500658762,17400,0,0,5766.645964426878,2800450,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,4432.153162055336,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,446,75.9,0,0,8804400,588120,522000,147900,1258020,519679.71,22011,487200,129340,11238050.71,7403.19546113307,2484282.136,3034273.6917000003,2484282.136,1636.5494967061923,8753768.574000001,-2178120.414,3071.4114295125164,-1434.8619328063241,-462681.42599999905,-304.796723320158,4314.03515625,4914.140625,600.10546875,1253.6600346317157,1450,196.3399653682843,422.5375,870,447.4625
0400,ATTALA COUNTY,364432.1869831281,362.9802659194502,0,0,190694.78698312805,5688.805400694904,2800510,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,1004,1.7252578138630297,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,363.1468,294.17199999999997,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,4648.00452191235,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,294,50.2,0,0,5823200,407160,435000,49300,891460,526562.86,14558,292320,85260,7824055.646983128,7792.884110540964,2935606.8279999997,2112495.024685445,2112495.024685445,2104.0787098460605,5711560.622297684,-3707565.3753145556,5796.872908366534,-3692.7941985204734,-681037.3777023163,-678.3240813768089,4790.0329670329675,4898.131868131868,108.09890109890057,806.6005399109121,1450,643.3994600890879,1001.0535714285714,870,-131.05357142857144
5920,BALDWYN,86684.45000000019,114.66197089947127,7250,0,0,5331.438238624339,2800540,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,214.2504,185.97600000000003,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,4497.098373015873,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1663.3103571428574,0,190,37.800000000000004,0,0,4384800,247080,239250,0,486330,310663.08,10962.000000000002,266220,55100,5521325.08,7303.340052910053,2409164.94,1490757.7716,1490757.7716,1971.9018142857144,4030567.3084,-2958131.5783999995,5884.774272486772,-3912.8724582010577,-626701.6916,-828.9704915343918,4548.7692307692305,4676.25,127.48076923076951,1026.053472830109,1450,423.94652716989094,865.0490196078431,870,4.950980392156907
2320,BAY ST. LOUIS,521997.2599999998,312.19931818181794,49300,0,0,5516.387943779905,2800570,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,490.732,411.31200000000007,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,4532.0172607655495,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1676.225562200957,0,488,83.60000000000001,0,0,9697600,664680,688750,98600,1452030,711561.4,24244.000000000004,558540,141520,12634795.4,7556.695813397129,7071755.796,3411394.7580000004,3411394.7580000004,2040.3078696172252,9223400.642,-6912285.912,6174.450161483253,-4134.142291866028,-1156781.357999999,-691.8548791866024,4231.72972972973,4905.506756756757,673.7770270270266,1034.1384198825426,1450,415.8615801174574,186.10591900311528,870,683.8940809968847
0500,BENTON COUNTY,292789.37578857783,304.67156689758303,30450,0,146940.29778857855,6362.983741715481,2800600,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,4930.862101977108,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,276,48.050000000000004,0,0,5573800,424560,522000,49300,995860,482412.38999999996,13934.500000000002,269700,80040,7593137.187788578,7901.287396242016,1478309.8120000002,2050147.0407029162,1478309.8120000002,1538.303654526535,6114827.375788578,-713506.6979999996,2280.7663995837665,-742.4627450572316,-376348.62421142217,-391.62187743124105,3828.6331658291456,5004.321608040201,1175.6884422110552,805.73392228404,1450,644.26607771596,607.7322580645161,870,262.26774193548385
2420,BILOXI,4236165.349999994,728.8653389538877,772850,0,0,5412.454057192016,2800630,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.12,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,4182.291959738472,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1546.8751083964214,0,1710,290.6,0,0,33709600,1541640,2581000,147900,4270540,2782727.48,84274,976140,495900,43092031.48,7414.320626290433,17883311.824,11634848.4996,11634848.4996,2001.8665690984171,31457182.980399996,-25119759.2504,6323.917369236064,-4322.050800137647,-1840736.019600004,-316.7130109428772,4042.6142506142505,5246.363636363636,1203.7493857493855,910.5978696455213,1450,539.4021303544787,385.15418894830657,870,484.84581105169343
5921,BOONEVILLE,922382.193,698.2454148372444,0,0,0,6350.041781226344,2800820,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,238.9689,290.62,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,4599.998569265707,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955,0,367,66.05,0,0,7661800,473280,652500,147900,1273680,346504.90499999997,19154.5,400200,106430,9807769.405,7424.503713096139,1419364.2119999998,2648097.73935,1419364.2119999998,1074.4619318697955,8388405.193,-2833811.378,3219.663580620742,-2145.2016487509463,64298.19299999997,48.67387812263496,3300.5560165975103,5284.979253112033,1984.4232365145226,1564.5961701483332,1450,-114.59617014833316,253.08478260869566,870,616.9152173913044
