dist_id,district,total_enroll,model_2_total_funding,model_2_pp_funding,model_2_diff_total,model_2_diff_pp,model_2_state_share,model_2_state_share_pp,model_2_local_diff_total,model_2_local_share_total,model_2_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,gr_9_12_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gr_9_12_enroll,conc_pov_weight_adj,conc_pov_adm,model_2_local_mills_total,cte_pp_funding,cte_model_2_pp,cte_pp_diff
4820,ABERDEEN,998,7681003.88728657,7696.396680647866,369889.2472865693,370.6305083031757,5607132.837719196,5618.369576872942,-4040385.5604326264,2073871.049567374,2078.027103774924,5788400,257520,551000,49300,857820,0,607926.71,14471.000000000002,275790,20834.15128657064,17452.025999999958,98310,739.0774193548386,722.7661378043875,0,49.900000000000006,419.2598,308.382,74,76,5,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0.4201,317,108296862,0.309,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,339,0.02009999999999995,20.059799999999953,3032312.136,177.64668769716087,870,692.3533123028392
0200,ALCORN COUNTY,3188,23630351.3,7412.280834378921,893325.256000001,280.214948557089,18814293.256,5901.597633626098,-4643587.446,4816058.044,1510.683200752823,18490400,1353720,1160000,197200,2710920,42050,880605.2999999999,46226,1191030,0,0,269120,604.6151142355011,-57.10362163467357,29,159.4,607.314,599.344,389,160,20,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,0.1905,1369,172002073,0.188,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,2366894,915285.12886944,703630,1510.683200752823,0,928,0,0,4816058.044,513.9737034331629,870,356.0262965668371
0300,AMITE COUNTY,853,7321363.502158886,8583.075618005727,353382.9021588862,414.2824175367941,5344595.356575986,6265.645201144181,-3676092.674417101,1976768.1455828992,2317.4304168615467,4947400,553320,420500,98600,1072420,0,679030.65,12368.500000000002,238380,189559.96215888567,110574.39000000001,71630,18.955947136563736,896.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0.549,274,115040320,0.29,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,247,0.14900000000000002,127.09700000000002,3221128.96,709.529197080292,870,160.47080291970804
4821,AMORY,1518,11238050.71,7403.19546113307,487389.57400000095,321.073500658762,8753768.574000001,5766.645964426878,-2178120.414,2484282.136,1636.5494967061923,8804400,588120,522000,147900,1258020,17400,519679.71,22011,487200,0,0,129340,600.10546875,196.3399653682843,12,75.9,358.3998,315.744,169,72,15,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0.2361,560,88724362,0.208,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,1104393,449311.50568,236621,1636.5494967061925,0,446,0,0,2484282.136,422.5375,870,447.4625
0400,ATTALA COUNTY,1004,7824055.646983128,7792.884110540964,364432.1869831281,362.9802659194502,5711560.622297684,5688.805400694904,-3707565.3753145556,2112495.024685445,2104.0787098460605,5823200,407160,435000,49300,891460,0,526562.86,14558,292320,190694.78698312805,0,85260,108.09890109890057,643.3994600890879,0,50.2,363.1468,294.17199999999997,117,60,5,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,0.3617,336,104843101,0.293,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,294,0,0,2935606.8279999997,1001.0535714285714,870,-131.05357142857144
5920,BALDWYN,756,5521325.08,7303.340052910053,86684.45000000019,114.66197089947127,4030567.3084,5331.438238624339,-2958131.5783999995,1490757.7716,1971.9018142857144,4384800,247080,239250,0,486330,7250,310663.08,10962.000000000002,266220,0,0,55100,127.48076923076951,423.94652716989094,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0.2834,306,86041605,0.246,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,473072,219832.36697524,264705,1663.3103571428574,0,190,0,0,2409164.94,865.0490196078431,870,4.950980392156907
2320,BAY ST. LOUIS,1672,12634795.4,7556.695813397129,521997.2599999998,312.19931818181794,9223400.642,5516.387943779905,-6912285.912,3411394.7580000004,2040.3078696172252,9697600,664680,688750,98600,1452030,49300,711561.4,24244.000000000004,558540,0,0,141520,673.7770270270266,415.8615801174574,34,83.60000000000001,490.732,411.31200000000007,191,95,10,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,0.2935,642,252562707,0.246,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,1252592,507484.8150658,119480,1676.225562200957,0,488,0,0,7071755.796,186.10591900311528,870,683.8940809968847
0500,BENTON COUNTY,961,7593137.187788578,7901.287396242016,292789.37578857783,304.67156689758303,6114827.375788578,6362.983741715481,-713506.6979999996,1478309.8120000002,1538.303654526535,5573800,424560,522000,49300,995860,30450,482412.38999999996,13934.500000000002,269700,146940.29778857855,0,80040,1175.6884422110552,644.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,0.3462,310,52796779,0.293,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,276,0,0,1478309.8120000002,607.7322580645161,870,262.26774193548385
2420,BILOXI,5812,43092031.48,7414.320626290433,4236165.349999994,728.8653389538877,31457182.980399996,5412.454057192016,-25119759.2504,11634848.4996,2001.8665690984171,33709600,1541640,2581000,147900,4270540,772850,2782727.48,84274,976140,0,0,495900,1203.7493857493855,539.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,0.3302,1122,638689708,0.26,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,3290688,1747548.769029,432143,1546.8751083964214,0,1710,0,0,17883311.824,385.15418894830657,870,484.84581105169343
5921,BOONEVILLE,1321,9807769.405,7424.503713096139,922382.193,698.2454148372444,8388405.193,6350.041781226344,-2833811.378,1419364.2119999998,1074.4619318697955,7661800,473280,652500,147900,1273680,0,346504.90499999997,19154.5,400200,0,0,106430,1984.4232365145226,-114.59617014833316,0,66.05,238.9689,290.62,136,90,15,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,0.1809,460,50691579,0.22,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,795434,373889.82572456,116419,1074.4619318697955,0,367,0,0,1419364.2119999998,253.08478260869566,870,616.9152173913044
4320,BROOKHAVEN,2586,19140764.73,7401.687830626451,1629096.539999999,629.9677262180976,13972758.2529,5403.232116357309,-6960790.532899999,5168006.477100001,1998.4557142691417,14998800,960480,833750,98600,1892830,42050,1465757.73,37497,485460,0,0,218370,711.0448877805484,681.6293297414478,29,129.3,1010.8674,724.08,276,115,10,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,0.3909,558,215101417,0.28,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,1607701,776720.86168052,280855,1566.834953596288,0,753,0,0,6022839.676,503.32437275985666,870,366.67562724014334
