dist_id,district,model_3_diff_total,model_3_diff_pp,ell_funding,sparsity_funding,conc_pov_funding,model_3_total_funding,model_3_local_share_total,model_3_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gr_9_12_enroll,gifted_enroll,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,gr_9_12_funding,model_3_pp_funding,model_3_local_mills_total,model_3_local_pct_total,model_3_local_share_pp,model_3_state_share,model_3_local_diff_total,current_local_pp,model_3_local_diff_pp,model_3_state_diff_total,model_3_state_diff_pp,sped_pp_funding,sped_model_3_pp,sped_pp_diff,at_risk_pp_funding,ed_model_3_pp,ed_pp_diff,cte_pp_funding,cte_model_3_pp,cte_pp_diff
4820,ABERDEEN,1484800.4288112763,1487.7759807728225,0,337000.198811275,25275.34799999994,8795915.068811277,2374897.068579045,6433.885771775784,2800360,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,4582.858076152304,12648251,12673,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1695.0296993987977,0.053599293636682095,0.02009999999999995,20.059799999999953,339,49.900000000000006,6287400,279720,598500,53550,931770,792401.022,15718.500000000002,299565,106785,8813.542153117512,3032312.136,2374897.068579045,2379.656381341729,6421018.000232232,-3739359.541420955,6126.509629258518,-3746.853247916789,155686.0002322318,155.99799622468163,4795.245161290322,6011.419354838709,1216.174193548387,727.2338621956125,1890,1162.7661378043877,177.64668769716087,945,767.3533123028392
0200,ALCORN COUNTY,3406439.056967385,1068.519152122768,54810,275575.6409673829,0,26143465.100967385,4816058.044,6689.901837191777,2800390,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,4575.2450031367625,29879069,9372,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0.013720879935043263,0,0,928,159.4,20084400,1470420,1260000,214200,2944620,1147823.46,50211,1293705,292320,8200.5850379446,4816058.044,7058735.577261195,1510.683200752823,21327407.056967385,-4643587.446,2967.266464868256,-1456.5832641154332,1346748.056967385,422.44292878525266,4159.743409490334,5175.079086115993,1015.3356766256593,1507.1036216346736,1890,382.8963783653264,513.9737034331629,945,431.0262965668371
0300,AMITE COUNTY,1440779.0382070653,1689.0727294338403,0,474596.33820706554,160142.22000000003,8408759.638207065,2270365.102315908,7196.242128829023,2800420,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,468.297,247.37,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,5110.239624853459,11752351,13777,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,1890.0886283704576,0.08831506693594326,0.14900000000000002,127.09700000000002,247,42.650000000000006,5373900,601020,456750,107100,1164870,885081.3300000001,13434.750000000002,258930,77805,9857.865929902773,3221128.96,2270365.102315908,2661.623801073749,6138394.535891157,-3382495.7176840925,6627.034958968347,-3965.4111578945985,167114.53589115664,195.91387560510793,4705.361233480176,5131.5859030837,426.2246696035236,553.0761821404792,1890,1336.9238178595208,709.529197080292,945,235.47080291970804
4821,AMORY,1572862.9859999996,1036.141624505929,22680,0,0,12323524.122,2484282.136,6481.714088274044,2800450,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,4432.153162055336,14114133,9297,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,0,0,446,75.9,9563400,638820,567000,160650,1366470,677375.6220000001,23908.5,529200,140490,8118.263584980237,2484282.136,3327351.5129400003,1636.5494967061923,9839241.986,-2178120.414,3071.4114295125164,-1434.8619328063241,622791.9859999996,410.27140052700815,4314.03515625,5337.7734375,1023.73828125,1253.6600346317157,1890,636.3399653682843,422.5375,945,522.4625
0400,ATTALA COUNTY,1469570.984757536,1463.71612027643,0,523393.9927575356,0,8929194.444757536,2410882.5000845348,6492.3425743755,2800510,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,1004,1.7252578138630297,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,363.1468,294.17199999999997,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,4648.00452191235,12500425,12450,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1719.124960159363,0.0827474218613697,0,0,294,50.2,6325200,442260,472500,53550,968310,686347.4519999999,15813,317520,92610,8893.619964897944,2935606.8279999997,2410882.5000845348,2401.277390522445,6518311.944673002,-3409177.8999154656,5796.872908366534,-3395.595517844089,125713.94467300177,125.21309230378665,4790.0329670329675,5320.384615384615,530.3516483516478,806.6005399109121,1890,1083.3994600890878,1001.0535714285714,945,-56.053571428571445
5920,BALDWYN,631724.6260000002,835.6145846560858,9450,0,0,6066365.256,1637918.6191200002,5857.733646666667,2800540,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,214.2504,185.97600000000003,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,4497.098373015873,9259940,12248,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1663.3103571428574,0,0,0,190,37.800000000000004,4762800,268380,259875,0,528255,404933.25600000005,11907.000000000002,289170,59850,8024.292666666667,2409164.94,1637918.6191200002,2166.55902,4428446.63688,-2810970.7308799997,5884.774272486772,-3718.215252486772,-228822.36311999988,-302.675083492064,4548.7692307692305,5079.375,530.6057692307695,1026.053472830109,1890.0000000000002,863.9465271698912,865.0490196078431,945,79.95098039215691
2320,BAY ST. LOUIS,1776494.3399999999,1062.4966148325366,64260,0,0,13889292.48,3750108.9696000004,6064.104970334929,2800570,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,490.732,411.31200000000007,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,4532.0172607655495,21006876,12563,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1676.225562200957,0,0,0,488,83.60000000000001,10533600,721980,748125,107100,1577205,927483.4800000001,26334.000000000004,606690,153720,8306.993110047848,7071755.796,3750108.9696000004,2242.888139712919,10139183.510400001,-6573571.7003999995,6174.450161483253,-3931.5620217703345,-240998.48959999904,-144.13785263157843,4231.72972972973,5328.39527027027,1096.66554054054,1034.1384198825426,1890,855.8615801174574,186.10591900311528,945,758.8940809968847
0500,BENTON COUNTY,1361500.1008393178,1416.7534868255116,39690,462322.5648393181,0,8661847.912839318,1478309.8120000002,7475.065661643411,2800600,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,4930.862101977108,8810484,9168,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.07636267856553493,0,0,276,48.050000000000004,6054300,461160,567000,53550,1081710,628799.598,15135.750000000002,292950,86940,9013.369316169945,1478309.8120000002,2338698.936466616,1538.303654526535,7183538.100839318,-713506.6979999996,2280.7663995837665,-742.4627450572316,692362.1008393178,720.4600424966884,3828.6331658291456,5435.728643216081,1607.0954773869353,805.73392228404,1890,1084.26607771596,607.7322580645161,945,337.26774193548385
2420,BILOXI,8723414.206,1500.9315564349617,1007370,0,0,47579280.336,12846405.690720001,5976.062395953201,2800630,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.12,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,4182.291959738472,71163529,12244,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1546.8751083964214,0,0,0,1710,290.6,36615600,1674540,2803500,160650,4638690,3627141.336,91539,1060290,538650,8186.386843771507,17883311.824,12846405.690720001,2210.3244478183074,34732874.64528,-23908202.05928,6323.917369236064,-4113.592921417756,1434955.6452800035,246.89532781830803,4042.6142506142505,5698.636363636364,1656.0221130221134,910.5978696455213,1890,979.4021303544787,385.15418894830657,945,559.8458110516934
5921,BOONEVILLE,1843154.7590000015,1395.2723383800158,0,0,0,10728541.971,1419364.2119999998,7047.068704769115,2800820,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,238.9689,290.62,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,4599.998569265707,12729111,9635,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955,0,0,0,367,66.05,8322300,514080,708750,160650,1383480,451651.22099999996,20805.75,434700,115605,8121.53063663891,1419364.2119999998,2896706.3321700003,1074.4619318697955,9309177.759000001,-2833811.378,3219.663580620742,-2145.2016487509463,985070.7590000015,745.7008016654063,3300.5560165975103,5740.580912863071,2440.0248962655605,1564.5961701483332,1890,325.40382985166684,253.08478260869566,945,691.9152173913044
