dist_id,district,total_enroll,model_3_total_funding,model_3_pp_funding,model_3_diff_total,model_3_diff_pp,model_3_state_share,model_3_state_share_pp,model_3_local_diff_total,model_3_local_share_total,model_3_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,gr_9_12_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gr_9_12_enroll,model_3_local_mills_total,cte_pp_funding,cte_model_3_pp,cte_pp_diff
4820,ABERDEEN,998,8795915.068811277,8813.542153117512,1484800.4288112763,1487.7759807728225,6421018.000232232,6433.885771775784,-3739359.541420955,2374897.068579045,2379.656381341729,6287400,279720,598500,53550,931770,0,792401.022,15718.500000000002,299565,337000.198811275,25275.34799999994,106785,1216.174193548387,1162.7661378043877,0,49.900000000000006,419.2598,308.382,74,76,5,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0.4201,317,108296862,0.309,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,743263,304899.92361736,56314,1695.0296993987977,0.053599293636682095,0.02009999999999995,20.059799999999953,339,3032312.136,177.64668769716087,945,767.3533123028392
0200,ALCORN COUNTY,3188,26143465.100967385,8200.5850379446,3406439.056967385,1068.519152122768,21327407.056967385,6689.901837191777,-4643587.446,4816058.044,1510.683200752823,20084400,1470420,1260000,214200,2944620,54810,1147823.46,50211,1293705,275575.6409673829,0,292320,1015.3356766256593,382.8963783653264,29,159.4,607.314,599.344,389,160,20,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,0.1905,1369,172002073,0.188,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,2366894,915285.12886944,703630,1510.683200752823,0.013720879935043263,0,0,928,4816058.044,513.9737034331629,945,431.0262965668371
0300,AMITE COUNTY,853,8408759.638207065,9857.865929902773,1440779.0382070653,1689.0727294338403,6138394.535891157,7196.242128829023,-3382495.7176840925,2270365.102315908,2661.623801073749,5373900,601020,456750,107100,1164870,0,885081.3300000001,13434.750000000002,258930,474596.33820706554,160142.22000000003,77805,426.2246696035236,1336.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0.549,274,115040320,0.29,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,1068117,259003.91686784,194411,1890.0886283704576,0.08831506693594326,0.14900000000000002,127.09700000000002,247,3221128.96,709.529197080292,945,235.47080291970804
4821,AMORY,1518,12323524.122,8118.263584980237,1572862.9859999996,1036.141624505929,9839241.986,6481.714088274044,-2178120.414,2484282.136,1636.5494967061923,9563400,638820,567000,160650,1366470,22680,677375.6220000001,23908.5,529200,0,0,140490,1023.73828125,636.3399653682843,12,75.9,358.3998,315.744,169,72,15,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0.2361,560,88724362,0.208,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,1104393,449311.50568,236621,1636.5494967061925,0,0,0,446,2484282.136,422.5375,945,522.4625
0400,ATTALA COUNTY,1004,8929194.444757536,8893.619964897944,1469570.984757536,1463.71612027643,6518311.944673002,6492.3425743755,-3409177.8999154656,2410882.5000845348,2401.277390522445,6325200,442260,472500,53550,968310,0,686347.4519999999,15813,317520,523393.9927575356,0,92610,530.3516483516478,1083.3994600890878,0,50.2,363.1468,294.17199999999997,117,60,5,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,0.3617,336,104843101,0.293,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,871786,292914.40494692,336354,1719.124960159363,0.0827474218613697,0,0,294,2935606.8279999997,1001.0535714285714,945,-56.053571428571445
5920,BALDWYN,756,6066365.256,8024.292666666667,631724.6260000002,835.6145846560858,4428446.63688,5857.733646666667,-2810970.7308799997,1637918.6191200002,2166.55902,4762800,268380,259875,0,528255,9450,404933.25600000005,11907.000000000002,289170,0,0,59850,530.6057692307695,863.9465271698912,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0.2834,306,86041605,0.246,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,473072,219832.36697524,264705,1663.3103571428574,0,0,0,190,2409164.94,865.0490196078431,945,79.95098039215691
2320,BAY ST. LOUIS,1672,13889292.48,8306.993110047848,1776494.3399999999,1062.4966148325366,10139183.510400001,6064.104970334929,-6573571.7003999995,3750108.9696000004,2242.888139712919,10533600,721980,748125,107100,1577205,64260,927483.4800000001,26334.000000000004,606690,0,0,153720,1096.66554054054,855.8615801174574,34,83.60000000000001,490.732,411.31200000000007,191,95,10,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,0.2935,642,252562707,0.246,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,1252592,507484.8150658,119480,1676.225562200957,0,0,0,488,7071755.796,186.10591900311528,945,758.8940809968847
0500,BENTON COUNTY,961,8661847.912839318,9013.369316169945,1361500.1008393178,1416.7534868255116,7183538.100839318,7475.065661643411,-713506.6979999996,1478309.8120000002,1538.303654526535,6054300,461160,567000,53550,1081710,39690,628799.598,15135.750000000002,292950,462322.5648393181,0,86940,1607.0954773869353,1084.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,0.3462,310,52796779,0.293,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,761898,268066.22562284,188397,1538.303654526535,0.07636267856553493,0,0,276,1478309.8120000002,607.7322580645161,945,337.26774193548385
2420,BILOXI,5812,47579280.336,8186.386843771507,8723414.206,1500.9315564349617,34732874.64528,5976.062395953201,-23908202.05928,12846405.690720001,2210.3244478183074,36615600,1674540,2803500,160650,4638690,1007370,3627141.336,91539,1060290,0,0,538650,1656.0221130221134,979.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,0.3302,1122,638689708,0.26,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,3290688,1747548.769029,432143,1546.8751083964214,0,0,0,1710,17883311.824,385.15418894830657,945,559.8458110516934
5921,BOONEVILLE,1321,10728541.971,8121.53063663891,1843154.7590000015,1395.2723383800158,9309177.759000001,7047.068704769115,-2833811.378,1419364.2119999998,1074.4619318697955,8322300,514080,708750,160650,1383480,0,451651.22099999996,20805.75,434700,0,0,115605,2440.0248962655605,325.40382985166684,0,66.05,238.9689,290.62,136,90,15,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,0.1809,460,50691579,0.22,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,795434,373889.82572456,116419,1074.4619318697955,0,0,0,367,1419364.2119999998,253.08478260869566,945,691.9152173913044
4320,BROOKHAVEN,2586,21118388.886,8166.430350348028,3606720.6959999986,1394.7102459396747,15416423.88678,5961.49415575406,-6426832.010779999,5701964.999220001,2204.9361945939677,16291800,1043280,905625,107100,2056005,54810,1910539.386,40729.5,527310,0,0,237195,1117.9650872817956,1121.6293297414477,29,129.3,1010.8674,724.08,276,115,10,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,0.3909,558,215101417,0.28,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,1607701,776720.86168052,280855,1566.834953596288,0,0,0,753,6022839.676,503.32437275985666,945,441.67562724014334
0700,CALHOUN COUNTY,2080,18113517.40312151,8708.421828423801,3227703.159121508,1551.7803649622638,15258295.15912151,7335.718826500726,-2110525.2360000005,2855222.244,1372.703001923077,13104000,1118880,637875,107100,1863855,253260,1066141.44,32760,754110,845665.9631215129,0,193725,1280.3410852713182,760.2641881729353,134,104,564.096,673.9200000000001,296,81,10,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,0.2712,798,101972223,0.324,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,1368363,637279.4525084,489806,1372.703001923077,0.0645349483456588,0,0,615,2855222.244,613.7919799498746,945,331.20802005012536
4520,CANTON,3166,27097546.770000003,8558.921910928617,6444852.400000002,2035.6451042324697,19781209.142100003,6248.012994977891,-9228148.3321,7316337.627900002,2310.908915950727,19945800,612360,1291500,171360,2075220,582120,2909892.762,49864.5,924210,0,344264.5079999999,266175,1208.476608187134,1306.907033946846,308,158.3,1539.6258,987.792,162,164,16,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,0.4863,978,288604618,0.312,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,1661921,897744.97433396,393681,1509.3504011370817,0,0.08629999999999999,273.22579999999994,845,8080929.3040000005,402.5368098159509,945,542.4631901840492
0800,CARROLL COUNTY,805,7218649.19735016,8967.266083664796,1496124.2173501598,1858.539400434981,5269613.914065617,6546.104241075301,-947740.0467154568,1949035.2832845433,2421.161842589495,5071500,355320,299250,53550,708120,62370,650419.875,12678.75,168210,442172.3223501598,27893.249999999967,75285,334.5036496350358,1167.112543202063,33,40.25,344.1375,177.905,94,38,5,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,0.4275,178,89665115,0.221,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,662293,248772.6821638,99740,1644.811155279503,0.08718768063692395,0.02749999999999997,22.137499999999974,239,2510623.22,560.3370786516854,945,384.6629213483146
