dist_id,district,model_5_diff_total,model_5_diff_pp,ell_funding,sparsity_funding,model_5_total_funding,model_5_local_share_total,model_5_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gifted_enroll,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,model_5_pp_funding,model_5_local_mills_total,model_5_local_pct_total,model_5_local_share_pp,model_5_state_share,model_5_local_diff_total,current_local_pp,model_5_local_diff_pp,model_5_state_diff_total,model_5_state_diff_pp,sped_pp_funding,sped_model_5_pp,sped_pp_diff,at_risk_pp_funding,ed_model_5_pp,ed_pp_diff,cte_pp_funding,cte_model_5_pp,cte_pp_diff
4820,ABERDEEN,167365.78479151148,167.7011871658433,0,21193.360791511514,7478480.424791512,2019189.7146937083,5470.231172442689,2800360,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,4582.858076152304,12648251,12673,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,49.900000000000006,5888200,261960,560500,50150,872610,494726.56399999995,14720.500000000002,187030,7493.467359510533,3032312.136,2019189.7146937083,2023.236187067844,5459290.710097804,-4095066.895306292,6126.509629258518,-4103.273442190673,-806041.2899021963,-807.656603108413,4795.245161290322,5629.741935483871,834.4967741935488,727.2338621956125,1180,452.76613780438754,177.64668769716087,590,412.35331230283913
0200,ALCORN COUNTY,435417.4759999998,136.5801367628601,34220,0,23172443.52,4816058.044,5757.962821831869,2800390,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,4575.2450031367625,29879069,9372,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0,159.4,18809200,1377060,1180000,200600,2757660,716630.5199999999,47023,807710,7268.646022584692,4816058.044,6256559.7504,1510.683200752823,18356385.476,-4643587.446,2967.266464868256,-1456.5832641154332,-1624273.5240000002,-509.49608657465524,4159.743409490334,4846.502636203866,686.7592267135324,1507.1036216346736,1180,-327.1036216346736,513.9737034331629,590,76.02629656683712
0300,AMITE COUNTY,75289.84736852162,88.26476831010677,0,192828.23736852163,7043270.447368521,1901683.0207895008,6027.6523172087,2800420,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,468.297,247.37,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,5110.239624853459,11752351,13777,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,42.650000000000006,5032700,562860,427750,100300,1090910,552590.4600000001,12581.750000000002,161660,8257.05796877904,3221128.96,1901683.0207895008,2229.405651570341,5141587.426579021,-3751177.7992104995,6627.034958968347,-4397.629307398007,-829692.5734209791,-972.6759360152155,4705.361233480176,4805.770925110132,100.40969162995589,553.0761821404792,1180,626.9238178595208,709.529197080292,590,-119.52919708029196
4821,AMORY,275111.1280000005,181.23262714097564,14160,0,11025772.264,2484282.136,5626.805090909092,2800450,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,4432.153162055336,14114133,9297,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,75.9,8956200,598260,531000,150450,1279710,422911.764,22390.5,330400,7263.354587615284,2484282.136,2976958.51128,1636.5494967061923,8541490.128,-2178120.414,3071.4114295125164,-1434.8619328063241,-674959.8719999995,-444.63759683794433,4314.03515625,4998.8671875,684.83203125,1253.6600346317157,1180,-73.66003463171569,422.5375,590,167.46249999999998
0400,ATTALA COUNTY,206351.3921380099,205.5292750378585,0,193982.62813800958,7665974.85213801,2069813.2100772627,5573.866177351342,2800510,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,1004,1.7252578138630297,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,363.1468,294.17199999999997,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,4648.00452191235,12500425,12450,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,50.2,5923600,414180,442500,50150,906830,428513.224,14809,198240,7635.433119659372,2935606.8279999997,2069813.2100772627,2061.566942308031,5596161.642060747,-3750247.189922738,5796.872908366534,-3735.305966058503,-796436.3579392526,-793.2633047203708,4790.0329670329675,4982.582417582417,192.54945054944983,806.6005399109121,1180,373.39946008908794,1001.0535714285714,590,-411.05357142857144
5920,BALDWYN,-29119.15799999982,-38.51740476190389,5900,0,5405521.472,1459490.79744,5219.617294391534,2800540,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,214.2504,185.97600000000003,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,4497.098373015873,9259940,12248,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1663.3103571428574,0,37.800000000000004,4460400,251340,243375,0,494715,252815.472,11151.000000000002,180540,7150.1606772486775,2409164.94,1459490.79744,1930.5433828571431,3946030.67456,-2989398.5525599997,5884.774272486772,-3954.230889629629,-711238.3254399998,-940.7914357671962,4548.7692307692305,4756.875,208.1057692307695,1026.053472830109,1180,153.94652716989094,865.0490196078431,590,-275.0490196078431
2320,BAY ST. LOUIS,251692.61999999918,150.5338636363631,40120,0,12364490.76,3338412.5052,5398.372161961722,2800570,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,490.732,411.31200000000007,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,4532.0172607655495,21006876,12563,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1676.225562200957,0,83.60000000000001,9864800,676140,700625,100300,1477065,579063.76,24662.000000000004,378780,7395.0303588516745,7071755.796,3338412.5052,1996.6581968899523,9026078.2548,-6985268.164799999,6174.450161483253,-4177.791964593302,-1354103.7452000007,-809.8706610047857,4231.72972972973,4990.084459459459,758.3547297297291,1034.1384198825426,1180,145.86158011745738,186.10591900311528,590,403.8940809968847
0500,BENTON COUNTY,146494.56519872695,152.43971404654167,24780,149473.75119872644,7446842.377198727,1478309.8120000002,6210.75188886444,2800600,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,4930.862101977108,8810484,9168,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,48.050000000000004,5669900,431880,531000,50150,1013030,392583.876,14174.750000000002,182900,7749.055543390975,1478309.8120000002,2010647.4418436564,1538.303654526535,5968532.565198727,-713506.6979999996,2280.7663995837665,-742.4627450572316,-522643.43480127305,-543.8537302822824,3828.6331658291456,5090.603015075377,1261.9698492462312,805.73392228404,1180,374.26607771596,607.7322580645161,590,-17.732258064516145
2420,BILOXI,3420315.3019999936,588.4919652443214,628940,0,42276181.432,11414568.986639999,5309.981494384033,2800630,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.12,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,4182.291959738472,71163529,12244,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1546.8751083964214,0,290.6,34290800,1568220,2625500,150450,4344170,2264564.432,85727,661980,7273.947252580867,17883311.824,11414568.986639999,1963.965758196834,30861612.445359997,-25340038.76336,6323.917369236064,-4359.95161103923,-2436306.5546400025,-419.1855737508604,4042.6142506142505,5336.818181818182,1294.2039312039315,910.5978696455213,1180,269.4021303544787,385.15418894830657,590,204.84581105169343
5921,BOONEVILLE,777020.8399999999,588.206540499621,0,0,9662408.052,1419364.2119999998,6240.002906888721,2800820,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,238.9689,290.62,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,4599.998569265707,12729111,9635,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955,0,66.05,7793900,481440,663750,150450,1295640,281983.30199999997,19484.75,271400,7314.464838758516,1419364.2119999998,2608850.17404,1074.4619318697955,8243043.84,-2833811.378,3219.663580620742,-2145.2016487509463,-81063.16000000015,-61.36499621498842,3300.5560165975103,5376.09958506224,2075.54356846473,1564.5961701483332,1180,-384.59617014833316,253.08478260869566,590,336.91521739130434
