dist_id,district,total_enroll,model_4_total_funding,model_4_pp_funding,model_4_diff_total,model_4_diff_pp,model_4_state_share,model_4_state_share_pp,model_4_local_share_total,model_4_local_share_pp,model_4_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,local_diff_pp,local_funding_28_mill,local_funding_27_pct,totalEnrollment,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
4820,ABERDEEN,998,8366723.936759666,8383.490918596859,-105831.12864033319,-106.04321507047462,6107708.473834556,6119.948370575707,2259015.46292511,2263.5425480211525,3032312.136,6337300,281940,603250,53975,939165,0,798689.919,15843.250000000002,201295,44424.473,30006.294759665958,1938560.0454,6533995.02,6547.089198396793,7179852.02,7194.240501002004,8472555.065399999,8489.534133667334,1263.883870967742,1177.7661378043877,0,49.900000000000006,419.2598,308.382,74,76,5,4183.5550647294585,3032312.136,1938560.0454,998,0.4201,317,108296862,0.309,232105.88,682414.14,108296.862,108.51388977955912,4147539.884,4155.851587174348,5241291.974599999,743263,304899.92361736,56314,1942.444935270541,0.003599293636682095,0.0701,69.9598,1312.86892,177.64668769716087
0200,ALCORN COUNTY,3188,25325477.67,7944.0017785445425,89995.62600000203,28.229493726475084,20509419.626000002,6433.31857779172,4816058.044,1510.683200752823,4816058.044,20243800,1482090,1270000,215900,2967990,36830,1156933.17,50609.5,869315,0,0,4816058.044,20419424,6405.089084065245,22479115,7051.16530740276,25235482.044,7915.772284818067,1056.4077328646754,397.8963783653264,29,159.4,607.314,599.344,389,160,20,1456.316799247177,4816058.044,6069361.050000001,3188,0.1905,1369,172002073,0.188,711043.38,1787412.62,172002.073,53.95297145545797,17663056.956,5540.482106649937,16409753.95,2366894,915285.12886944,703630,1510.683200752823,0,0,0,3988.2642,513.9737034331629
2545,AMBITION PREP,480,3834056.34,7987.617375,209387.84078781353,436.22466830794474,3086936.7907878137,6431.1183141412785,747119.549212186,1556.499060858721,747119.549212186,3048000,80010,119062.5,0,199072.5,0,514532.88,7620,0,64830.96,0,747119.549212186,2877548.95,5994.893645833334,3184415.95,6634.199895833333,3624668.4992121863,7551.392706692055,4367.958333333334,1406.2705021072506,0,24,270.096,192.48,21,15,0,NA,747119.549212186,859792.3065000001,395,0.5627,0,26682841.04329236,0.401,89289.47,118269.48,26682.84104329236,55.58925217352575,2437296.400787814,5077.700834974613,2324623.6435,41826,134704.84246284,0,1556.499060858721,0,0.2127,102.096,603.7884000000001,NA
0300,AMITE COUNTY,853,8076109.601647967,9467.88933370219,163559.3007479664,191.74595632821547,5895560.009203015,6911.559213602596,2180549.592444951,2556.330120099591,3221128.96,5416550,605790,460375,107950,1174115,0,892105.785,13541.375000000002,173990,107789.34500000003,298018.09664796665,1813059.6309,6099490.67,7150.633845252051,6715035.67,7872.257526377492,7912550.3009,9276.143377373974,466.95154185021966,1351.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,4501.490467878077,3221128.96,1813059.6309,853,0.549,274,115040320,0.29,201251.92,542503.75,115040.32,134.86555685814773,3493906.71,4096.021934349355,4901976.0391,1068117,259003.91686784,194411,2125.509532121923,0.038315066935943255,0.19900000000000007,169.74700000000004,1224.8963,709.529197080292
4821,AMORY,1518,12094304.869,7967.262759552043,158291.5730000008,104.27639855072539,9610022.733000001,6330.71326284585,2484282.136,1636.5494967061923,2484282.136,9639300,643890,571500,161925,1377315,15240,682751.6190000001,24098.25,355600,0,0,2484282.136,9451731.16,6226.436864295125,10401802.16,6852.307088274045,11936013.296,7862.986361001317,1066.1015625,651.3399653682843,12,75.9,358.3998,315.744,169,72,15,1434.4505032938075,2484282.136,2808486.5832,1518,0.2361,560,88724362,0.208,355521.69,829830.47,88724.362,58.44819631093544,7917520.024,5215.757591567853,7593315.5768,1104393,449311.50568,236621,1636.5494967061925,0,0,0,1904.6149400000002,422.5375
0400,ATTALA COUNTY,1004,8551094.301580824,8517.02619679365,-110892.78111917526,-110.4509772103338,6242298.8401540015,6217.429123659364,2308795.4614268225,2299.5970731342854,2935606.8279999997,6375400,445770,476250,53975,975995,0,691794.654,15938.5,213360,7459.218000000027,271146.92958082346,1981622.0727,6680365.01,6653.750009960159,7339341.01,7310.10060756972,8661987.0827,8627.477174003983,572.5769230769229,1098.3994600890878,0,50.2,363.1468,294.17199999999997,117,60,5,3822.272835956175,2935606.8279999997,1981622.0727,1004,0.3617,336,104843101,0.293,221821.22,724921.79,104843.101,104.42539940239044,4403734.182,4386.189424302789,5357718.937299999,871786,292914.40494692,336354,1973.7271640438248,0.032747421861369704,0.011700000000000044,11.746800000000043,1303.92872,1001.0535714285714
5920,BALDWYN,756,5953856.012,7875.470915343915,-285803.8105999995,-378.04736851851794,4346314.8887600005,5749.093768201059,1607541.12324,2126.377147142857,2409164.94,4800600,270510,261937.5,0,532447.5,6350,408147.01200000005,12001.500000000002,194310,0,0,1428608.4426,4811051.38,6363.824576719577,5291142.38,6998.865582010581,6239659.8226,8253.518283862433,570.9182692307695,878.9465271698909,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,3994.306292857143,2409164.94,1428608.4426,756,0.2834,306,86041605,0.246,176942.75,456930.63,86041.605,113.81164682539682,2881977.44,3812.139470899471,3862533.9374,473072,219832.36697524,264705,1889.693707142857,0,0,0,937.61512,865.0490196078431
2320,BAY ST. LOUIS,1672,13619159.96,8145.4305980861245,-237408.13669999875,-141.99051238038192,9941986.7708,5946.164336602871,3677173.1892000004,2199.266261483254,7071755.796,10617200,727710,754062.5,107950,1589722.5,43180,934844.4600000001,26543.000000000004,407670,0,0,3173371.8867,10683196.21,6389.471417464114,11753229.21,7029.443307416267,13856568.0967,8287.421110466506,1138.9543918918916,870.8615801174574,34,83.60000000000001,490.732,411.31200000000007,191,95,10,4276.050306997608,7071755.796,3173371.8867,1672,0.2935,642,252562707,0.246,373286.09,999761.12,252562.707,151.05425059808613,4681473.413999999,2799.924290669856,8579857.323299998,1252592,507484.8150658,119480,1897.9496930023925,0,0,0,2144.7495999999996,186.10591900311528
0500,BENTON COUNTY,961,8277831.509732632,8613.768480471,180853.2377326321,188.19275518484028,6799521.697732632,7075.464825944467,1478309.8120000002,1538.303654526535,1478309.8120000002,6102350,464820,571500,53975,1090295,26670,633790.071,15255.875000000002,196850,0,212620.56373263182,1478309.8120000002,6618668.46,6887.272070759625,7287806.46,7583.5655150884495,8096978.272,8425.57572528616,1650.2361809045224,1099.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,741.696345473465,1478309.8120000002,1967707.7442,961,0.3462,310,52796779,0.293,220886.26,575744.2,52796.779,54.93941623309053,5809496.648,6045.2618605619145,5320098.7158,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,0,0,1270.11196,607.7322580645161
2420,BILOXI,5812,46719278.672,8038.416839642119,2093175.2509000003,360.14715259807235,34105073.43056,5868.044292938747,12614205.24144,2170.3725467033723,17883311.824,36906200,1687830,2825750,161925,4675505,676910,3655928.172,92265.5,712470,0,0,10217181.4911,34408921.93,5920.323800757054,37841412.93,6510.910689951824,44626103.4211,7678.269687044047,1701.2493857493855,994.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,4565.054113713008,17883311.824,10217181.4911,5812,0.3302,1122,638689708,0.26,1316669.08,3226824.85,638689.708,109.89155333792154,19958101.106,3433.9471964900204,27624231.4389,3290688,1747548.769029,432143,1757.9458862869924,0,0,0,7357.36672,385.15418894830657
