dist_id,district,total_enroll,model_7_total_funding,model_7_pp_funding,model_7_diff_total,model_7_diff_pp,model_7_state_share,model_7_state_share_pp,model_7_local_share_total,model_7_local_share_pp,model_7_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,direct_cert_pct,model_9_state_diff_pp,model_9_state_share_pp,model_9_diff_pp,model_9_pp_funding,model_9_local_share_total,model_9_diff_total,local_funding_28_mill,local_funding_27_pct,totalEnrollment,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,model_9_total_funding,model_9_local_mills_total,model_9_local_pct_total,model_9_local_share_pp,model_9_state_share,model_9_local_diff_total,model_9_local_diff_pp,sped_model_9_pp,ed_model_9_pp,cte_pp_funding,cte_model_9_pp
4820,ABERDEEN,998,9058349.256633958,9076.50226115627,585794.1916339584,586.9681271562713,6612594.957342789,6625.846650644076,2445754.299291169,2450.655610512193,3032312.136,6337300,281940,603250,53975,939165,0,798689.919,15843.250000000002,301942.5,44424.473,620984.1146339583,1938560.045,6533995.02,6547.089198,7179852.02,7194.240501,8472555.065,8489.534134,1263.883870967742,1177.766137845794,0,49.900000000000006,419.2598,308.382,74,76,5,0.4201,103.20246476450212,6650.291662764502,620.454445129455,9109.988579129456,2454777.5225322233,619213.5369711965,3032312.136,1938560.045,998,317,108296862,0.309,232105.88,682414.14,108296.862,108.5138898,4147539.884,4155.851587,5241291.975,743263,304899.9236,56314,1942.444935,0.07359929364000001,0.0701,69.9598,1328.7189199999998,9091768.601971196,3032312.136,2454777.5225322233,2459.6969163649533,6636991.079438973,-3659479.087467777,-3666.812712893565,6393.096774193548,2010,177.64668769716087,670
200,ALCORN COUNTY,3188,26628789.595305745,8352.819822868803,1393307.5553057455,437.0475378688034,21812731.551305745,6842.136622115981,4816058.044,1510.683200752823,4816058.044,20243800,1482090,1270000,215900,2967990,36830,1156933.17,50609.5,1303972.5,0,868654.4253057413,4816058.044,20419424,6405.089084,22479115,7051.165307,25235482.04,7915.772285,1056.4077328646754,397.8963783150066,29,159.4,607.314,599.344,389,160,20,0.1905,466.0878595382683,6871.1769435382685,466.08785929109126,8381.860144291091,4816058.044,1485888.1000000015,4816058.044,6069361.05,3188,1369,172002073,0.188,711043.38,1787412.62,172002.073,53.95297146,17663056.96,5540.482107,16409753.95,2366894,915285.1289,703630,1510.683201,0.03372087993999999,0,0,4056.7142,26721370.14,4816058.044,7214769.9378,1510.683200752823,21905312.096,-4643587.446,-1456.5832641154332,5503.655536028119,2010,513.9737034331629,670
2545,AMBITION PREP,480,4117776.50916,8578.70106075,493108.01016000006,1027.3083537499997,3370656.96004,7022.202000083333,747119.54912,1556.4990606666665,747119.54912,3048000,80010,119062.5,0,199072.5,0,514532.88,7620,0,64830.96,283720.1691600001,747119.5492,2877548.95,5994.893646,3184415.95,6634.199896,3624668.499,7551.392707,4367.958333333334,1406.27050196967,0,24,270.096,192.48,21,15,0,0.5627,1163.0349548333324,7157.928600833333,1163.0349545,8714.4276615,747119.54912,558256.7785200002,747119.5492,859792.3065,395,0,26682841.04,0.401,89289.47,118269.48,26682.84104,55.58925217,2437296.401,5077.700835,2324623.644,41826,134704.8425,0,1556.499061,0.07400000000000001,0.2127,102.096,603.7884000000001,4182925.27752,747119.54912,1129389.8249304,1556.4990606666663,3435805.7284,-595842.63088,-1241.3388143333332,5834.583333333333,2010,NA,NA
300,AMITE COUNTY,853,8716993.876277966,10219.219081216843,804443.5752779664,943.0757042168425,6363405.529682916,7460.029929288295,2353588.3465950512,2759.1891519285477,3221128.96,5416550,605790,460375,107950,1174115,0,892105.785,13541.375000000002,260985,107789.34500000003,851907.3712779656,1813059.631,6099490.67,7150.633845,6715035.67,7872.257526,7912550.301,9276.143377,466.95154185021966,1351.9238177908464,0,42.650000000000006,468.297,247.37,159,58,10,0.549,352.57971867857395,7503.213563678574,1002.2313677651692,10278.37474476517,2367212.4874668666,854903.3562846901,3221128.96,1813059.631,853,274,115040320,0.29,201251.92,542503.75,115040.32,134.8655569,3493906.71,4096.021934,4901976.039,1068117,259003.9169,194411,2125.509532,0.10831506694,0.19900000000000007,169.74700000000004,1238.5963,8767453.65728469,3221128.96,2367212.4874668666,2775.161181086596,6400241.169817824,-3285648.3325331337,-3851.8737778817513,5457.400881057269,2010,709.529197080292,670
4821,AMORY,1518,12272104.869,8084.3905592885385,336091.56900000013,221.40419828853828,9787822.733000001,6447.841062582346,2484282.136,1636.5494967061923,2484282.136,9639300,643890,571500,161925,1377315,15240,682751.6190000001,24098.25,533400,0,0,2484282.136,9451731.16,6226.436864,10401802.16,6852.307088,11936013.3,7862.986361,1066.1015625,651.3399653124809,12,75.9,358.3998,315.744,169,72,15,0.2361,543.4168659077732,6769.853729907773,543.4168656139655,8406.403226613966,2484282.136,824906.7979999986,2484282.136,2808486.583,1518,560,88724362,0.208,355521.69,829830.47,88724.362,58.44819631,7917520.024,5215.757592,7593315.577,1104393,449311.5057,236621,1636.549497,0,0,0,1932.6149400000002,12760920.098,2484282.136,3445448.42646,1636.5494967061925,10276637.962,-2178120.414,-1434.861932806324,5676.6796875,2010,422.5375,670
400,ATTALA COUNTY,1004,9248331.712573508,9211.485769495526,586344.6295735072,584.0085954955266,6751282.150178661,6724.3846117317335,2497049.562394847,2487.101157763792,2935606.8279999997,6375400,445770,476250,53975,975995,0,691794.654,15938.5,320040,7459.218000000027,861704.3405735074,1981622.073,6680365.01,6653.75001,7339341.01,7310.100608,8661987.083,8627.477174,572.5769230769229,1098.3994602182918,0,50.2,363.1468,294.172,117,60,5,0.3617,96.9352657269983,6750.685275726998,620.0369023383537,9247.514076338352,2506816.115813801,622517.0496437065,2935606.828,1981622.073,1004,336,104843101,0.293,221821.22,724921.79,104843.101,104.4253994,4403734.182,4386.189424,5357718.937,871786,292914.4049,336354,1973.727164,0.10274742186000001,0.011700000000000044,11.746800000000043,1320.7287200000003,9284504.132643707,2935606.8279999997,2506816.115813801,2496.8288006113557,6777688.016829906,-3313244.2841861993,-3300.044107755178,5658.186813186813,2010,1001.0535714285714,670
5920,BALDWYN,756,6082249.655874495,8045.303777611766,-157410.16712550446,-208.21450638823353,4440042.248788381,5873.0717576565885,1642207.407086114,2172.2320199551773,2409164.94,4800600,270510,261937.5,0,532447.5,6350,408147.01200000005,12001.500000000002,291465,0,31238.643874495127,1428608.443,4811051.38,6363.824577,5291142.38,6998.865582,6239659.823,8253.518284,570.9182692307695,878.9465270543253,5,37.800000000000004,214.2504,185.976,71,33,0,0.2834,-297.851624724869,6065.972952275131,56.03370541798904,8309.551989417989,1696145.75208,42361.48099999968,2409164.94,1428608.443,756,306,86041605,0.246,176942.75,456930.63,86041.605,113.8116468,2881977.44,3812.139471,3862533.937,473072,219832.367,264705,1889.693707,0.005162549500000005,0,0,952.91512,6282021.304,2409164.94,1696145.75208,2243.579037142857,4585875.5519199995,-2752743.5979199996,-3641.195235343915,5401.875,2010,865.0490196078431,670
2320,BAY ST. LOUIS,1672,13822994.96,8267.34148325359,-33573.13999999873,-20.079626746410213,10090786.3208,6035.15928277512,3732208.6392000006,2232.1822004784694,7071755.796,10617200,727710,754062.5,107950,1589722.5,43180,934844.4600000001,26543.000000000004,611505,0,0,3173371.887,10683196.21,6389.471417,11753229.21,7029.443307,13856568.1,8287.42111,1138.9543918918916,870.8615800477655,34,83.60000000000001,490.732,411.312,191,95,10,0.2935,-115.56573900956846,6273.905677990431,306.9702297129188,8594.391339712918,3879852.0264,513254.2200000006,7071755.796,3173371.887,1672,642,252562707,0.246,373286.09,999761.12,252562.707,151.0542506,4681473.414,2799.924291,8579857.323,1252592,507484.8151,119480,1897.949693,0,0,0,2176.8496,14369822.32,7071755.796,3879852.0264,2320.485661722488,10489970.2936,-6443828.6436,-3853.964499760765,5666.706081081081,2010,186.10591900311528,670
500,BENTON COUNTY,961,8950305.772626895,9313.533582338081,853327.5006268956,887.9578573380804,7471995.960626896,7775.229927811546,1478309.8120000002,1538.303654526535,1478309.8120000002,6102350,464820,571500,53975,1090295,26670,633790.071,15255.875000000002,295275,0,786669.8266268958,1478309.812,6618668.46,6887.272071,7287806.46,7583.565515,8096978.272,8425.575725,1650.2361809045224,1099.2660777846108,21,48.050000000000004,332.6982,281.573,122,72,5,0.3462,928.6203654213632,7815.8924364213635,928.620365947898,9354.196090947898,1478309.8120000002,892404.1714009307,1478309.812,1967707.744,961,310,52796779,0.293,220886.26,575744.2,52796.779,54.93941623,5809496.648,6045.261861,5320098.716,761898,268066.2256,188397,1538.303655,0.09636267857,0,0,1285.61196,8989382.44340093,1478309.8120000002,2427133.2597182514,1538.303654526535,7511072.631400931,-713506.6979999996,-742.4627450572316,5780.854271356784,2010,607.7322580645161,670
2420,BILOXI,5812,47075513.672,8099.7098540949755,2449410.2519999966,421.44016709497555,34365124.98056,5912.788193489332,12710388.691440001,2186.921660605644,17883311.824,36906200,1687830,2825750,161925,4675505,676910,3655928.172,92265.5,1068705,0,0,10217181.49,34408921.93,5920.323801,37841412.93,6510.91069,44626103.42,7678.269687,1701.2493857493855,994.4021303695897,533,290.6,1919.1224,1511.12,443,356,15,0.3302,271.1560041479697,6191.479805147969,803.2094981342052,8481.479185134205,13309476.39648,4668253.603999995,17883311.82,10217181.49,5812,1122,638689708,0.26,1316669.08,3226824.85,638689.708,109.8915533,19958101.11,3433.947196,27624231.44,3290688,1747548.769,432143,1757.945886,0,0,0,7413.46672,49294357.024,17883311.824,13309476.39648,2289.9993799862355,35984880.627519995,-23445131.35352,-4033.917989249828,6060.454545454545,2010,385.15418894830657,670
