dist_id,district,model_7_total_funding,model_7_diff_pp,direct_cert_pct,model_7_state_diff_pp,model_7_local_share_total,model_7_diff_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,model_9_state_diff_pp,model_9_state_share_pp,maep_fy24_pp,model_9_diff_pp,model_9_pp_funding,model_9_local_share_total,model_9_diff_total,geoid,total_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gifted_enroll,sparsity_weighted_enroll,model_9_total_funding,model_9_local_mills_total,model_9_local_pct_total,model_9_local_share_pp,model_9_state_share,model_9_local_diff_total,current_local_pp,model_9_local_diff_pp,sped_pp_funding,sped_model_9_pp,sped_pp_diff,at_risk_pp_funding,ed_model_9_pp,ed_pp_diff,cte_pp_funding,cte_model_9_pp,cte_pp_diff,model_7_pp_funding,model_7_local_mills_total,model_7_local_pct_total,model_7_local_share_pp,model_7_state_share,model_7_state_share_pp,model_7_local_diff_total,model_7_local_diff_pp,sped_model_7_pp,ed_model_7_pp,cte_model_7_pp
4820,ABERDEEN,9058349.256633958,586.9681271562713,0.4201,78.7574526440767,2445754.299291169,585794.1916339584,6337300,281940,603250,53975,939165,0,798689.919,15843.250000000002,301942.5,620984.1146339583,44424.473,103.20246476450212,6650.291662764502,6547.089198,620.454445129455,9109.988579129456,2454777.5225322233,619213.5369711965,2800360,998,8472555.065,8489.534134,6533995.02,1938560.045,3032312.136,1938560.045,4.640070636,5461563,5472.508016,7179852.02,7194.240501,0,76,64,71,87,49,70,79,68,74,103,81,77,78,998,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.0829326,0.309,4672500.27,910.472222,74,76,5,232105.88,682414.14,419.2598,308.382,108296.862,108.5138898,4147539.884,4155.851587,5241291.975,5251.795566,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.9236,56314,1942.444935,0.07359929364000001,0.0701,69.9598,49.900000000000006,1328.7189199999998,9091768.601971196,3032312.136,2454777.5225322233,2459.6969163649533,6636991.079438973,-3659479.087467777,6126.509629258518,-3666.812712893565,4795.245161290322,6393.096774193548,1263.883870967742,727.233862154206,2010,1177.766137845794,177.64668769716087,670,774.8533123028392,9076.50226115627,3032312.136,2445754.299291169,2450.655610512193,6612594.957342789,6625.846650644076,-3668502.3107088315,-3675.8540187463245,6059.129032258064,1905,952.5
200,ALCORN COUNTY,26628789.595305745,437.0475378688034,0.1905,437.0475381159804,4816058.044,1393307.5553057455,20243800,1482090,1270000,215900,2967990,36830,1156933.17,50609.5,1303972.5,868654.4253057413,0,466.0878595382683,6871.1769435382685,6405.089084,466.08785929109126,8381.860144291091,4816058.044,1485888.1000000015,2800390,3188,25235482.04,7915.772285,20419424,4816058.044,4816058.044,6069361.05,8.627912006,17423282,5465.270389,22479115,7051.165307,135,210,243,246,219,233,194,233,232,240,256,235,237,200,3188,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.4984369,0.188,7744573.91,2814.40782,389,160,20,711043.38,1787412.62,607.314,599.344,172002.073,53.95297146,17663056.96,5540.482107,16409753.95,5147.350674,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.1289,703630,1510.683201,0.03372087993999999,0,0,159.4,4056.7142,26721370.14,4816058.044,7214769.9378,1510.683200752823,21905312.096,-4643587.446,2967.266464868256,-1456.5832641154332,4159.743409490334,5503.655536028119,1056.4077328646754,1507.1036216849934,2010,397.8963783150066,513.9737034331629,670,438.5262965668371,8352.819822868803,4816058.044,7189773.190732552,1510.683200752823,21812731.551305745,6842.136622115981,-4643587.446,-1456.5832641154332,5216.151142355009,1905,952.5
2545,AMBITION PREP,4117776.50916,1027.3083537499997,0.5627,1027.3083540833322,747119.54912,493108.01016000006,3048000,80010,119062.5,0,199072.5,0,514532.88,7620,0,283720.1691600001,64830.96,1163.0349548333324,7157.928600833333,5994.893646,1163.0349545,8714.4276615,747119.54912,558256.7785200002,.,480,3624668.499,7551.392707,2877548.95,747119.5492,747119.5492,859792.3065,4.6,2151984,4483.3,3184415.95,6634.199896,0,79,79,83,87,67,0,0,0,0,0,0,0,0,395,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04,1342962.18,AMBITION PR,5.8,0.401,1608020.68,277.804469,21,15,0,89289.47,118269.48,270.096,192.48,26682.84104,55.58925217,2437296.401,5077.700835,2324623.644,4842.965924,NA,NA,NA,NA,NA,NA,NA,41826,134704.8425,0,1556.499061,0.07400000000000001,0.2127,102.096,24,603.7884000000001,4182925.27752,747119.54912,1129389.8249304,1556.4990606666663,3435805.7284,-595842.63088,2797.8378749999997,-1241.3388143333332,1161.8333333333333,5834.583333333333,4367.958333333334,498.7294980303299,2010,1406.27050196967,NA,NA,NA,8578.70106075,747119.54912,1111799.6574732,1556.4990606666665,3370656.96004,7022.202000083333,-595842.63088,-1241.3388143333332,5529.791666666667,1905,NA
300,AMITE COUNTY,8716993.876277966,943.0757042168425,0.549,309.39608428829433,2353588.3465950512,804443.5752779664,5416550,605790,460375,107950,1174115,0,892105.785,13541.375000000002,260985,851907.3712779656,107789.34500000003,352.57971867857395,7503.213563678574,7150.633845,1002.2313677651692,10278.37474476517,2367212.4874668666,854903.3562846901,2800420,853,7912550.301,9276.143377,6099490.67,1813059.631,3221128.96,1813059.631,1.168493306,5418370,6352.133646,6715035.67,7872.257526,0,71,63,61,73,63,61,59,59,68,65,73,47,62,853,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027,0.29,7452499.36,780.137143,159,58,10,201251.92,542503.75,468.297,247.37,115040.32,134.8655569,3493906.71,4096.021934,4901976.039,5746.747994,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.9169,194411,2125.509532,0.10831506694,0.19900000000000007,169.74700000000004,42.650000000000006,1238.5963,8767453.65728469,3221128.96,2367212.4874668666,2775.161181086596,6400241.169817824,-3285648.3325331337,6627.034958968347,-3851.8737778817513,4705.361233480176,5457.400881057269,466.95154185021966,553.0761822091536,2010,1351.9238177908464,709.529197080292,670,242.97080291970804,10219.219081216843,3221128.96,2353588.3465950512,2759.1891519285477,6363405.529682916,7460.029929288295,-3299272.473404949,-3867.8458070397996,5172.312775330396,1905,952.5
4821,AMORY,12272104.869,221.40419828853828,0.2361,221.404198582346,2484282.136,336091.56900000013,9639300,643890,571500,161925,1377315,15240,682751.6190000001,24098.25,533400,0,0,543.4168659077732,6769.853729907773,6226.436864,543.4168656139655,8406.403226613966,2484282.136,824906.7979999986,2800450,1518,11936013.3,7862.986361,9451731.16,2484282.136,2484282.136,2808486.583,19.73466969,8630797,5685.637022,10401802.16,6852.307088,0,119,121,111,103,131,123,87,123,117,122,117,108,99,1518,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046655,0.208,5228334.37,1410.86508,169,72,15,355521.69,829830.47,358.3998,315.744,88724.362,58.44819631,7917520.024,5215.757592,7593315.577,5002.184174,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.5057,236621,1636.549497,0,0,0,75.9,1932.6149400000002,12760920.098,2484282.136,3445448.42646,1636.5494967061925,10276637.962,-2178120.414,3071.4114295125164,-1434.861932806324,4314.03515625,5676.6796875,1066.1015625,1253.660034687519,2010,651.3399653124809,422.5375,670,529.9625,8084.3905592885385,2484282.136,3313468.3146300004,1636.5494967061923,9787822.733000001,6447.841062582346,-2178120.414,-1434.8619328063241,5380.13671875,1905,952.5
400,ATTALA COUNTY,9248331.712573508,584.0085954955266,0.3617,70.63460173173371,2497049.562394847,586344.6295735072,6375400,445770,476250,53975,975995,0,691794.654,15938.5,320040,861704.3405735074,7459.218000000027,96.9352657269983,6750.685275726998,6653.75001,620.0369023383537,9247.514076338352,2506816.115813801,622517.0496437065,2800510,1004,8661987.083,8627.477174,6680365.01,1981622.073,2935606.828,1981622.073,1.725257814,5643432,5620.948207,7339341.01,7310.100608,48,82,84,67,56,69,56,66,82,84,82,68,72,72,1004,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.94201,0.293,3534710.96,852.659218,117,60,5,221821.22,724921.79,363.1468,294.172,104843.101,104.4253994,4403734.182,4386.189424,5357718.937,5336.373444,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.4049,336354,1973.727164,0.10274742186000001,0.011700000000000044,11.746800000000043,50.2,1320.7287200000003,9284504.132643707,2935606.8279999997,2506816.115813801,2496.8288006113557,6777688.016829906,-3313244.2841861993,5796.872908366534,-3300.044107755178,4790.0329670329675,5658.186813186813,572.5769230769229,806.6005397817082,2010,1098.3994602182918,1001.0535714285714,670,-48.553571428571445,9211.485769495526,2935606.8279999997,2497049.562394847,2487.101157763792,6751282.150178661,6724.3846117317335,-3323010.837605153,-3309.771750602742,5362.60989010989,1905,952.5
5920,BALDWYN,6082249.655874495,-208.21450638823353,0.2834,-490.75281934341183,1642207.407086114,-157410.16712550446,4800600,270510,261937.5,0,532447.5,6350,408147.01200000005,12001.500000000002,291465,31238.643874495127,0,-297.851624724869,6065.972952275131,6363.824577,56.03370541798904,8309.551989417989,1696145.75208,42361.48099999968,2800540,756,6239659.823,8253.518284,4811051.38,1428608.443,2409164.94,1428608.443,11.48374505,4166149,5510.779101,5291142.38,6998.865582,0,67,58,56,64,58,56,58,68,67,51,56,39,44,756,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252,0.246,2408297.18,688.707339,71,33,0,176942.75,456930.63,214.2504,185.976,86041.605,113.8116468,2881977.44,3812.139471,3862533.937,5109.171875,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.367,264705,1889.693707,0.005162549500000005,0,0,37.800000000000004,952.91512,6282021.304,2409164.94,1696145.75208,2243.579037142857,4585875.5519199995,-2752743.5979199996,5884.774272486772,-3641.195235343915,4548.7692307692305,5401.875,570.9182692307695,1026.0534729456747,2010,878.9465270543253,865.0490196078431,670,87.45098039215691,8045.303777611766,2409164.94,1642207.407086114,2172.2320199551773,4440042.248788381,5873.0717576565885,-2806681.9429138857,-3712.542252531595,5119.6875,1905,952.5
2320,BAY ST. LOUIS,13822994.96,-20.079626746410213,0.2935,-354.3121342248796,3732208.6392000006,-33573.13999999873,10617200,727710,754062.5,107950,1589722.5,43180,934844.4600000001,26543.000000000004,611505,0,0,-115.56573900956846,6273.905677990431,6389.471417,306.9702297129188,8594.391339712918,3879852.0264,513254.2200000006,2800570,1672,13856568.1,8287.42111,10683196.21,3173371.887,7071755.796,3173371.887,89.03631856,8998844,5382.083732,11753229.21,7029.443307,58,113,142,109,125,114,117,115,142,131,112,153,133,90,1672,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.7788537,0.246,8233825.93,1530.40499,191,95,10,373286.09,999761.12,490.732,411.312,252562.707,151.0542506,4681473.414,2799.924291,8579857.323,5131.493614,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8151,119480,1897.949693,0,0,0,83.60000000000001,2176.8496,14369822.32,7071755.796,3879852.0264,2320.485661722488,10489970.2936,-6443828.6436,6174.450161483253,-3853.964499760765,4231.72972972973,5666.706081081081,1138.9543918918916,1034.1384199522345,2010,870.8615800477655,186.10591900311528,670,766.3940809968847,8267.34148325359,7071755.796,3732208.6392000006,2232.1822004784694,10090786.3208,6035.15928277512,-6591472.0308,-3942.267961004784,5370.684121621622,1905,952.5
500,BENTON COUNTY,8950305.772626895,887.9578573380804,0.3462,887.9578568115458,1478309.8120000002,853327.5006268956,6102350,464820,571500,53975,1090295,26670,633790.071,15255.875000000002,295275,786669.8266268958,0,928.6203654213632,7815.8924364213635,6887.272071,928.620365947898,9354.196090947898,1478309.8120000002,892404.1714009307,2800600,961,8096978.272,8425.575725,6618668.46,1478309.812,1478309.812,1967707.744,2.363732143,5252649,5465.815817,7287806.46,7583.565515,16,93,62,68,74,58,66,73,70,87,76,71,69,60,961,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483,0.293,5808895.95,806.11359,122,72,5,220886.26,575744.2,332.6982,281.573,52796.779,54.93941623,5809496.648,6045.261861,5320098.716,5536.002826,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.2256,188397,1538.303655,0.09636267857,0,0,48.050000000000004,1285.61196,8989382.44340093,1478309.8120000002,2427133.2597182514,1538.303654526535,7511072.631400931,-713506.6979999996,2280.7663995837665,-742.4627450572316,3828.6331658291456,5780.854271356784,1650.2361809045224,805.7339222153893,2010,1099.2660777846108,607.7322580645161,670,344.76774193548385,9313.533582338081,1478309.8120000002,2416582.558609262,1538.303654526535,7471995.960626896,7775.229927811546,-713506.6979999996,-742.4627450572316,5478.869346733668,1905,952.5
2420,BILOXI,47075513.672,421.44016709497555,0.3302,-7.5356075106674325,12710388.691440001,2449410.2519999966,36906200,1687830,2825750,161925,4675505,676910,3655928.172,92265.5,1068705,0,0,271.1560041479697,6191.479805147969,5920.323801,803.2094981342052,8481.479185134205,13309476.39648,4668253.603999995,2800630,5812,44626103.42,7678.269687,34408921.93,10217181.49,17883311.82,10217181.49,302.4831359,29253636,5033.316586,37841412.93,6510.91069,120,459,485,441,447,419,361,430,405,464,493,409,403,405,5812,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.21429432,0.26,29870477.84,5304.15,443,356,15,1316669.08,3226824.85,1919.1224,1511.12,638689.708,109.8915533,19958101.11,3433.947196,27624231.44,4752.964804,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769,432143,1757.945886,0,0,0,290.6,7413.46672,49294357.024,17883311.824,13309476.39648,2289.9993799862355,35984880.627519995,-23445131.35352,6323.917369236064,-4033.917989249828,4042.6142506142505,6060.454545454545,1701.2493857493855,910.5978696304103,2010,994.4021303695897,385.15418894830657,670,567.3458110516934,8099.7098540949755,17883311.824,12710388.691440001,2186.921660605644,34365124.98056,5912.788193489332,-24044219.05856,-4136.99570863042,5743.863636363636,1905,952.5
