dist_id,district,total_enroll,model_8_total_funding,model_8_pp_funding,model_8_diff_total,model_8_diff_pp,model_8_state_share,model_8_state_share_pp,model_8_local_share_total,model_8_local_share_pp,model_8_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,direct_cert_pct,local_diff_pp,local_funding_28_mill,local_funding_27_pct,totalEnrollment,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
4820,ABERDEEN,998,8827881.94902201,8845.573095212434,355326.88362201117,356.0389615451004,6444353.822786067,6457.268359505077,2383528.126235943,2388.3047357073574,3032312.136,6686600,297480,636500,56950,990930,0,842712.198,16716.500000000004,212390,46873.066000000006,31660.18502200975,1938560.0454,6533995.02,6547.089198396793,7179852.02,7194.240501002004,8472555.065399999,8489.534133667334,1597.851612903226,1282.7661378043877,0,49.900000000000006,419.2598,308.382,74,76,5,0.4201,4183.5550647294585,3032312.136,1938560.0454,998,317,108296862,0.309,232105.88,682414.14,108296.862,108.51388977955912,4147539.884,4155.851587174348,5241291.974599999,743263,304899.92361736,56314,1942.444935270541,0.003599293636682095,0.0701,69.9598,1312.86892,177.64668769716087
0200,ALCORN COUNTY,3188,26721370.14,8381.860144291091,1485888.0960000008,466.08785947302385,21905312.096,6871.1769435382685,4816058.044,1510.683200752823,4816058.044,21359600,1563780,1340000,227800,3131580,38860,1220701.14,53399,917230,0,0,4816058.044,20419424,6405.089084065245,22479115,7051.16530740276,25235482.044,7915.772284818067,1343.9121265377853,502.8963783653264,29,159.4,607.314,599.344,389,160,20,0.1905,1456.316799247177,4816058.044,6069361.050000001,3188,1369,172002073,0.188,711043.38,1787412.62,172002.073,53.95297145545797,17663056.956,5540.482106649937,16409753.95,2366894,915285.12886944,703630,1510.683200752823,0,0,0,3988.2642,513.9737034331629
2545,AMBITION PREP,480,4045382.28,8427.87975,420713.7807878135,876.487043307945,3298262.7307878137,6871.380689141279,747119.549212186,1556.499060858721,747119.549212186,3216000,84420,125625,0,210045,0,542892.96,8040,0,68404.32,0,747119.549212186,2877548.95,5994.893645833334,3184415.95,6634.199895833333,3624668.4992121863,7551.392706692055,4672.75,1511.2705021072506,0,24,270.096,192.48,21,15,0,0.5627,NA,747119.549212186,859792.3065000001,395,0,26682841.04329236,0.401,89289.47,118269.48,26682.84104329236,55.58925217352575,2437296.400787814,5077.700834974613,2324623.6435,41826,134704.84246284,0,1556.499060858721,0,0.2127,102.096,603.7884000000001,NA
0300,AMITE COUNTY,853,8521249.500951398,9989.741501701521,608699.200051398,713.5981243275473,6220512.135694521,7292.511296242111,2300737.3652568776,2697.230205459411,3221128.96,5715100,639180,485750,113900,1238830,0,941276.9700000001,14287.750000000002,183580,113730.49000000005,314444.29095139785,1813059.6309,6099490.67,7150.633845252051,6715035.67,7872.257526377492,7912550.3009,9276.143377373974,752.0396475770922,1456.9238178595208,0,42.650000000000006,468.297,247.37,159,58,10,0.549,4501.490467878077,3221128.96,1813059.6309,853,274,115040320,0.29,201251.92,542503.75,115040.32,134.86555685814773,3493906.71,4096.021934349355,4901976.0391,1068117,259003.91686784,194411,2125.509532121923,0.038315066935943255,0.19900000000000007,169.74700000000004,1224.8963,709.529197080292
4821,AMORY,1518,12760920.098,8406.403226613966,824906.8019999992,543.4168656126485,10276637.962,6769.853729907773,2484282.136,1636.5494967061923,2484282.136,10170600,679380,603000,170850,1453230,16080,720383.598,25426.500000000004,375200,0,0,2484282.136,9451731.16,6226.436864295125,10401802.16,6852.307088274045,11936013.296,7862.986361001317,1362.64453125,756.3399653682841,12,75.9,358.3998,315.744,169,72,15,0.2361,1434.4505032938075,2484282.136,2808486.5832,1518,560,88724362,0.208,355521.69,829830.47,88724.362,58.44819631093544,7917520.024,5215.757591567853,7593315.5768,1104393,449311.50568,236621,1636.5494967061925,0,0,0,1904.6149400000002,422.5375
0400,ATTALA COUNTY,1004,9022414.459935673,8986.468585593298,360427.37723567337,358.99141158931525,6586362.555753041,6560.122067483108,2436051.904182632,2426.346518110191,2935606.8279999997,6726800,470340,502500,56950,1029790,0,729925.068,16817,225120,7870.356000000029,286092.03593567194,1981622.0727,6680365.01,6653.750009960159,7339341.01,7310.10060756972,8661987.0827,8627.477174003983,868.1538461538457,1203.3994600890878,0,50.2,363.1468,294.17199999999997,117,60,5,0.3617,3822.272835956175,2935606.8279999997,1981622.0727,1004,336,104843101,0.293,221821.22,724921.79,104843.101,104.42539940239044,4403734.182,4386.189424302789,5357718.937299999,871786,292914.40494692,336354,1973.7271640438248,0.032747421861369704,0.011700000000000044,11.746800000000043,1303.92872,1001.0535714285714
5920,BALDWYN,756,6282021.304,8309.551989417989,42361.48139999993,56.03370555555557,4585875.5519199995,6065.972952275131,1696145.75208,2243.579037142857,2409164.94,5065200,285420,276375,0,561795,6700,430643.304,12663.000000000002,205020,0,0,1428608.4426,4811051.38,6363.824576719577,5291142.38,6998.865582010581,6239659.8226,8253.518283862433,853.1057692307695,983.9465271698909,5,37.800000000000004,214.2504,185.97600000000003,71,33,0,0.2834,3994.306292857143,2409164.94,1428608.4426,756,306,86041605,0.246,176942.75,456930.63,86041.605,113.81164682539682,2881977.44,3812.139470899471,3862533.9374,473072,219832.36697524,264705,1889.693707142857,0,0,0,937.61512,865.0490196078431
2320,BAY ST. LOUIS,1672,14369822.32,8594.391339712918,513254.22330000065,306.9702292464117,10489970.2936,6273.905677990431,3879852.0264000003,2320.485661722488,7071755.796,11202400,767820,795625,113900,1677345,45560,986371.3200000001,28006.000000000004,430140,0,0,3173371.8867,10683196.21,6389.471417464114,11753229.21,7029.443307416267,13856568.0967,8287.421110466506,1434.9763513513508,975.8615801174574,34,83.60000000000001,490.732,411.31200000000007,191,95,10,0.2935,4276.050306997608,7071755.796,3173371.8867,1672,642,252562707,0.246,373286.09,999761.12,252562.707,151.05425059808613,4681473.413999999,2799.924290669856,8579857.323299998,1252592,507484.8150658,119480,1897.9496930023925,0,0,0,2144.7495999999996,186.10591900311528
0500,BENTON COUNTY,961,8734089.939402934,9088.543121126882,637111.6674029343,662.967395840722,7255780.127402934,7550.239466600347,1478309.8120000002,1538.303654526535,1478309.8120000002,6438700,490440,603000,56950,1150390,28140,668723.382,16096.750000000002,207700,0,224339.80740293438,1478309.8120000002,6618668.46,6887.272070759625,7287806.46,7583.5655150884495,8096978.272,8425.57572528616,1952.2211055276384,1204.26607771596,21,48.050000000000004,332.6982,281.573,122,72,5,0.3462,741.696345473465,1478309.8120000002,1967707.7442,961,310,52796779,0.293,220886.26,575744.2,52796.779,54.93941623309053,5809496.648,6045.2618605619145,5320098.7158,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,0,0,1270.11196,607.7322580645161
2420,BILOXI,5812,49294357.024,8481.479185134205,4668253.602899998,803.2094980901584,35984880.627519995,6191.479805147969,13309476.39648,2289.9993799862355,17883311.824,38940400,1780860,2981500,170850,4933210,714220,3857436.0239999997,97351.00000000001,751740,0,0,10217181.4911,34408921.93,5920.323800757054,37841412.93,6510.910689951824,44626103.4211,7678.269687044047,2017.8402948402945,1099.4021303544787,533,290.6,1919.1224,1511.12,443,356,15,0.3302,4565.054113713008,17883311.824,10217181.4911,5812,1122,638689708,0.26,1316669.08,3226824.85,638689.708,109.89155333792154,19958101.106,3433.9471964900204,27624231.4389,3290688,1747548.769029,432143,1757.9458862869924,0,0,0,7357.36672,385.15418894830657
