dist_id,district,total_enroll,geoid,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,assessed_value,local_revenue,sq_miles,stpov_rate,federal_revenue,total_ada,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,direct_cert_pct,ell_enroll,vocational_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,sped_enroll,sparsity_multiplier,students_sq_mile,matt_wsf_pp,matt_wsf_total
4820,ABERDEEN,998,2800360,4183.5550647294585,8472555.065399999,8489.534133667334,6533995.02,1938560.0454,3032312.136,1938560.0454,4.6400706363317905,5461563,5472.508016032064,6547.089198396793,7179852.02,7194.240501002004,0,76,64,71,87,49,70,79,68,74,103,81,77,78,998,108296862,6114256.61,215.08293261435543,0.309,4672500.27,910.472222,232105.88,682414.14,419.2598,308.382,108296.862,108.51388977955912,4147539.884,4155.851587174348,5241291.974599999,5251.795565731462,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1942.444935270541,0.42,3,230,84,69,3,156,0.035,4.539,8952,8934463
0200,ALCORN COUNTY,3188,2800390,1456.316799247177,25235482.044,7915.772284818067,20419424,4816058.044,4816058.044,6069361.050000001,8.627912006495674,17423282,5465.270388958595,6405.089084065245,22479115,7051.16530740276,135,210,243,246,219,233,194,233,232,240,256,235,237,200,3188,172002073,9459645.49,369.498436887147,0.188,7744573.91,2814.40782,711043.38,1787412.62,607.314,599.344,172002.073,53.95297145545797,17663056.956,5540.482106649937,16409753.95,5147.350674404015,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0.19,35,1265,396,169,16,581,0.001,7.88,8331,26558188
2545,AMBITION PREP,525,.,NA,3624668.4992121863,7551.392706692055,2877548.95,747119.549212186,747119.549212186,859792.3065000001,Inf,2151984,4483.3,5994.893645833334,3184415.95,6634.199895833333,0,79,79,83,87,67,0,0,0,0,0,0,0,0,395,26682841.04329236,1342962.18,0,0.401,1608020.68,277.804469,89289.47,118269.48,270.096,192.48,26682.84104329236,55.58925217352575,2437296.400787814,5077.700834974613,2324623.6435,4842.965923958333,NA,NA,NA,NA,NA,NA,NA,41826,134704.84246284,0,1556.499060858721,0.56,0,0,29,17,0,46,0.038,4.187,8734,4585283
0300,AMITE COUNTY,853,2800420,4501.490467878077,7912550.3009,9276.143377373974,6099490.67,1813059.6309,3221128.96,1813059.6309,1.1684933064056744,5418370,6352.133645955451,7150.633845252051,6715035.67,7872.257526377492,0,71,63,61,73,63,61,59,59,68,65,73,47,62,853,115040320,5652860.82,729.9999027156239,0.29,7452499.36,780.137143,201251.92,542503.75,468.297,247.37,115040.32,134.86555685814773,3493906.71,4096.021934349355,4901976.0391,5746.747994255568,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,2125.509532121923,0.55,0,260,175,60,4,239,0.068,1.171,10194,8695703
4821,AMORY,1518,2800450,1434.4505032938075,11936013.296,7862.986361001317,9451731.16,2484282.136,2484282.136,2808486.5832,19.73466969355038,8630797,5685.637022397892,6226.436864295125,10401802.16,6852.307088274045,0,119,121,111,103,131,123,87,123,117,122,117,108,99,1518,88724362,4662402.55,76.92046654807238,0.208,5228334.37,1410.86508,355521.69,829830.47,358.3998,315.744,88724.362,58.44819631093544,7917520.024,5215.757591567853,7593315.5768,5002.184174440053,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0.24,0,503,166,60,14,240,0,19.198,8227,12488308
0400,ATTALA COUNTY,1004,2800510,3822.272835956175,8661987.0827,8627.477174003983,6680365.01,1981622.0727,2935606.8279999997,1981622.0727,1.7252578138630297,5643432,5620.948207171315,6653.750009960159,7339341.01,7310.10060756972,48,82,84,67,56,69,56,66,82,84,82,68,72,72,1004,104843101,5820060.4,581.9420100187466,0.293,3534710.96,852.659218,221821.22,724921.79,363.1468,294.17199999999997,104843.101,104.42539940239044,4403734.182,4386.189424302789,5357718.937299999,5336.373443525896,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1973.7271640438248,0.36,0,220,120,47,3,170,0.064,1.596,8952,8988089
5920,BALDWYN,756,2800540,3994.306292857143,6239659.8226,8253.518283862433,4811051.38,1428608.4426,2409164.94,1428608.4426,11.483745047638775,4166149,5510.7791005291,6363.824576719577,5291142.38,6998.865582010581,0,67,58,56,64,58,56,58,68,67,51,56,39,44,756,86041605,4448889.35,65.83218252093158,0.246,2408297.18,688.707339,176942.75,456930.63,214.2504,185.97600000000003,86041.605,113.81164682539682,2881977.44,3812.139470899471,3862533.9374,5109.171874867725,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1889.693707142857,0.28,1,305,81,47,1,129,0,12.012,8438,6379305
2320,BAY ST. LOUIS,1672,2800570,4276.050306997608,13856568.0967,8287.421110466506,10683196.21,3173371.8867,7071755.796,3173371.8867,89.03631856390174,8998844,5382.0837320574165,6389.471417464114,11753229.21,7029.443307416267,58,113,142,109,125,114,117,115,142,131,112,153,133,90,1672,252562707,10323680.67,18.778853696651872,0.246,8233825.93,1530.40499,373286.09,999761.12,490.732,411.31200000000007,252562.707,151.05425059808613,4681473.413999999,2799.924290669856,8579857.323299998,5131.493614413875,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1897.9496930023925,0.29,32,607,194,114,9,317,0,58.274,8603,14383578
0500,BENTON COUNTY,961,2800600,741.696345473465,8096978.272,8425.57572528616,6618668.46,1478309.8120000002,1478309.8120000002,1967707.7442,2.3637321434465077,5252649,5465.81581685744,6887.272070759625,7287806.46,7583.5655150884495,16,93,62,68,74,58,66,73,70,87,76,71,69,60,961,52796779,2191816.51,406.5604483419963,0.293,5808895.95,806.11359,220886.26,575744.2,332.6982,281.573,52796.779,54.93941623309053,5809496.648,6045.2618605619145,5320098.7158,5536.002826014568,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.35,18,285,112,74,1,187,0.058,2.241,9201,8841936
2420,BILOXI,5812,2800630,4565.054113713008,44626103.4211,7678.269687044047,34408921.93,10217181.4911,17883311.824,10217181.4911,302.4831359357475,29253636,5033.316586373021,5920.323800757054,37841412.93,6510.910689951824,120,459,485,441,447,419,361,430,405,464,493,409,403,405,5812,638689708,36754607.75,19.214294317665917,0.26,29870477.84,5304.15,1316669.08,3226824.85,1919.1224,1511.12,638689.708,109.89155333792154,19958101.106,3433.9471964900204,27624231.4389,4752.964803664831,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1757.9458862869924,0.33,547,990,448,378,12,838,0,155.64,8428,48985017
