geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
.,2545,AMBITION PREP,3417109.549,8650.910251,2669990,747119.5492,747119.5492,803751.39,395,Inf,2151984,5448.060759,6759.468354,2976857,7536.346835,0,79,79,83,87,67,0,0,0,0,0,0,0,0,0.5627,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04,1342962.18,AMBITION PR,0,0.401,1608020.68,277.804469,21,15,0,222.2665,158.395,26682.84104,67.55149631,2229737.451,5644.904939,2173105.61,5501.53319,NA,NA,NA,NA,NA,NA,NA,41826,134704.8425,1891.441897
.,1425,CLARKSDALE COLLEGIATE,4244987.836,8307.216901,3758302,486685.8364,486685.8364,1131367.77,511,Inf,3152814,6169.890411,7354.798434,4190251,8200.099804,0,69,73,78,76,5,70,75,0,0,0,0,0,0,0.5208,0,0,5,0,5,5,0,5,21,0,5,0,15,0,0,58,17381637.01,396211,CLARKSDALE C,0,0.516,1251932,416.883333,41,20,0,266.1288,263.676,17381.63701,34.01494523,3703565.164,7247.681338,3058883.23,5986.072857,NA,NA,NA,NA,NA,NA,NA,68371,187836.3755,952.4184665
.,4225,LEFLORE LEGACY,2275149.455,9440.454171,1790227,484922.4552,484922.4552,538914.87,241,Inf,1703264,7067.485477,7428.327801,1995981,8282.078838,0,0,0,0,0,0,0,89,5,87,0,0,0,0,0.5622,5,0,0,0,0,5,0,5,5,5,5,0,11,0,0,22,17318659.12,772039.69,LEFLORE LEG,0,0.473,1012642.76,180.584932,16,15,5,135.4902,113.993,17318.65912,71.86165608,1511058.545,6269.952468,1457066.13,6045.917552,NA,NA,NA,NA,NA,NA,NA,46028,98796.61876,2012.12637
.,2525,MIDTOWN PUBLIC CHARTER,2629796.499,9259.846826,2092627,537169.4987,537169.4987,629946.99,284,Inf,1796056,6324.140845,7368.40493,2333137,8215.271127,0,0,0,0,0,23,33,97,63,68,0,0,0,0,0.5771,5,0,5,0,0,5,0,5,5,0,5,0,5,0,0,32,19184624.95,1066233.8,MIDTOWN PUB,0,0.401,775995.33,211.281081,10,20,0,163.8964,113.884,19184.62495,67.55149631,1795967.501,6323.82923,1703190.01,5997.147923,NA,NA,NA,NA,NA,NA,NA,80150,107764.053,1891.441897
.,2515,REIMAGINE PREP,4314126.135,8393.241508,3341925,972201.1349,972201.1349,1006025.13,514,Inf,3192864,6211.797665,6501.799611,3726019,7249.064202,0,0,0,0,0,0,79,152,136,147,0,0,0,0,0.5837,147,5,5,0,0,5,0,12,0,0,11,0,14,0,0,41,34721469.1,1808680.38,REIMAGINE P,0,0.401,2311750.04,481.480447,14,33,0,300.0218,206.114,34721.4691,67.55149631,2753817.865,5357.622306,2719993.87,5291.816868,NA,NA,NA,NA,NA,NA,NA,97075,202057.7112,1891.441897
.,2505,SMILOW COLLEGIATE,4157882.26,7307.350193,3195835,962047.26,1076230.439,962047.26,569,Inf,3040009,5342.72232,5616.581722,3563138,6262.105448,0,99,117,122,119,112,0,0,0,0,0,0,0,0,0.5455,0,5,5,0,5,5,0,0,5,0,5,0,27,0,0,59,38436801.4,2050595.21,SMILOW COLL,0,0.401,2297325.97,500.322222,37,15,0,310.3895,228.169,38436.8014,67.55149631,2486907.561,4370.663551,2601090.74,4571.336977,NA,NA,NA,NA,NA,NA,NA,67424,193638.9383,1690.768471
.,2535,SMILOW PREP,4334123.9,7511.479896,3331298,1002825.9,1091361.974,1002825.9,577,Inf,3182569,5515.717504,5773.480069,3714170,6437.036395,0,0,0,0,0,0,136,157,141,143,0,0,0,0,0.5348,150,5,0,0,0,5,0,5,5,0,5,0,11,0,5,20,38977213.37,2015009.09,SMILOW PREP,0,0.401,1881336.95,504.305556,16,15,5,308.5796,231.377,38977.21337,67.55149631,2622808.026,4545.594498,2711344.1,4699.036568,NA,NA,NA,NA,NA,NA,NA,86780,202057.7112,1737.999827
2804800,8200,YAZOO COUNTY,9616780.92,7285.440091,7391658,2225122.92,6535404.344,2225122.92,1320,1.447163124,6995746,5299.807576,5599.740909,8241196,6243.330303,55,97,79,73,97,73,90,96,92,102,112,126,91,111,0.4028,276,13,15,0,11,18,0,15,58,14,32,5,55,0,0,219,233407298,7529716.78,YAZOO COUNT,912.1293778,0.285,5294693.25,1151.67975,124,85,14,531.696,376.2,233407.298,176.8237106,1705791.656,1292.266406,6016073.08,4557.631121,14921374,11304,7529716,5704,Rural,109300,42070,1024058,400492.289,1685.699182
2804770,8220,YAZOO CITY,13892224.48,6846.833157,12249457,1642767.476,1642767.476,3687473.97,2029,201.2295812,12508965,6165.088714,6037.189256,13657311,6731.0552,20,120,148,134,193,100,171,210,108,167,173,170,165,105,0.6393,650,0,22,0,20,5,0,28,40,5,33,0,111,5,0,273,58670267,2952057.44,YAZOO CITY,10.0830106,0.439,7187346.48,1909.6,171,88,10,1297.1397,890.731,58670.267,28.91585362,12014543.52,5921.411298,9969837.03,4913.670296,15201514,7492,2952057,1454,Town,70900,24688,1386466,620909.119,809.6439014
2804710,7900,WILKINSON COUNTY,6487169.88,7280.774276,4986174,1500995.88,1917044.864,1500995.88,891,1.314133621,5232876,5873.037037,5596.154882,5559244,6239.331089,16,59,58,71,55,45,76,74,51,95,85,73,47,49,0.4677,338,5,5,0,14,0,5,27,37,0,12,0,44,0,0,138,68465888,2720037.8,WILKINSON C,678.0132442,0.362,3755479.77,870.443243,95,49,0,416.7207,322.542,68465.888,76.84162514,3642199.136,4087.765585,4058248.12,4554.711695,7706211,8648,2720037,3052,Rural,70300,27313,726936,297007.4359,1684.619394
2804680,7613,WESTERN LINE,10909153.89,6684.53057,8385003,2524150.89,5024405.372,2524150.89,1632,4.582993156,8168065,5004.941789,5137.869485,9348707,5728.374387,67,113,125,89,105,120,124,124,142,129,126,143,114,86,0.4448,560,0,11,0,24,5,5,5,71,5,19,5,91,5,5,234,179443049,8961731.27,WESTERN LIN,356.0991571,0.286,7532207.86,1428.52514,186,50,15,725.9136,466.752,179443.049,109.9528487,4324301.628,2649.694625,6824556.11,4181.713303,17346734,10629,8961731,5491,Town,88300,37851,1028892,486436.9876,1546.661085
