geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,ada_add_fy24,teacher_add_fy24,local_share_expected_pp,maep_expected_local_add_total,maep_expected_local_add_pp
2800360,4820,ABERDEEN,7311114.640000001,7325.76617234469,5619475,1691639.6400000001,3032312.136,1691639.6400000001,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435546,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.51388977955911,3233019.864,3239.498861723447,4573692.359999999,4582.858076152304,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,232105.88,682414.14,1695.0296993987977,8225634.66,8242.118897795592
2800390,0200,ALCORN COUNTY,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,4575.2450031367625,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.1288694399,703630,711043.38,1787412.62,1510.683200752823,25235482.044,7915.772284818067
.,2545,AMBITION PREP,3417109.549212186,8650.910251170091,2669990,747119.549212186,747119.549212186,803751.39,395,Inf,2151984,5448.060759493671,6759.46835443038,2976857,7536.346835443038,0,79,79,83,87,67,0,0,0,0,0,0,0,0,0.5627,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04329236,1342962.18,AMBITION PR,0,0.401,1608020.68,277.804469,21,15,0,222.26649999999998,158.395,26682.84104329236,67.55149631213256,2229737.450787814,5644.9049387033265,2173105.61,5501.5331898734175,NA,NA,NA,NA,NA,NA,NA,41826,134704.84246284,0,89289.47,118269.48,1891.4418967397114,3624668.4992121863,9176.375947372624
2800420,0300,AMITE COUNTY,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,468.297,247.36999999999998,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,5110.239624853459,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,201251.92,542503.75,1890.0886283704574,7711736.27,9040.722473622509
2800450,4821,AMORY,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.20800000000000002,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,4432.153162055336,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,355521.69,829830.47,1636.5494967061923,11936013.296,7862.986361001317
2800510,0400,ATTALA COUNTY,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,1004,1.7252578138630295,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,363.14680000000004,294.17199999999997,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,4648.00452191235,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,221821.22,724921.79,1719.1249601593627,8406366.469999999,8372.874970119521
2800540,5920,BALDWYN,5434640.63,7188.678082010581,4177178,1257462.6300000001,2409164.94,1257462.6300000001,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.24600000000000002,2408297.18,688.707339,71,33,0,214.25039999999998,185.97600000000003,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,4497.098373015873,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,176942.75,456930.63,1663.3103571428574,6068514.01,8027.134933862433
2800570,2320,BAY ST. LOUIS,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.24600000000000002,8233825.93,1530.40499,191,95,10,490.73199999999997,411.31200000000007,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,4532.0172607655495,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,373286.09,999761.12,1676.225562200957,13485845.35,8065.696979665072
2800600,0500,BENTON COUNTY,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,4930.862101977108,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,220886.26,575744.2,1538.303654526535,8096978.272,8425.57572528616
2800630,2420,BILOXI,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.1200000000001,638689.708,109.89155333792154,15414607.175999999,2652.20357467309,24307480.869999997,4182.291959738472,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1316669.08,3226824.85,1546.8751083964214,43399360.06,7467.198909153476
